"TRAIT","GO","NAME","FUNCTION","QTL","locusName","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline","OsGene"
"LEN","GO:0005515","protein binding","molecular_function","3N@62.06","Pavir.3NG140759","AT1G25280","AtTLP10,TLP10","tubby like protein 10","LOC_Os05g36190","OsFBT7 - F-box and tubby domain containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","3N@62.06","Pavir.3NG140776","AT5G15610","","Proteasome component (PCI) domain protein","LOC_Os04g01290","proteasome subunit, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","3N@62.06","Pavir.3NG140805","AT1G22610","","C2 calcium/lipid-binding plant phosphoribosyltransferase family protein","LOC_Os05g35480","anthranilate phosphoribosyltransferase, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","3N@62.06","Pavir.3NG140820","AT5G49920","","Octicosapeptide/Phox/Bem1p family protein","LOC_Os05g35260","PB1 domain containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","3N@62.06","Pavir.3NG140837","AT1G21410","SKP2A","F-box/RNI-like superfamily protein","LOC_Os05g35110","OsFBL22 - F-box domain and LRR containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","3N@62.06","Pavir.3NG140850","AT5G63700","","zinc ion binding;DNA binding","LOC_Os01g66140","plus-3 domain containing protein, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","3N@62.06","Pavir.3NG140866","AT2G02470","AL6","alfin-like 6","LOC_Os05g34640","PHD finger protein, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","3N@62.06","Pavir.3NG140881","AT5G36950","DegP10","DegP protease 10","LOC_Os05g34460","OsDegp7 - Putative Deg protease homologue, expressed","TCM5 "
"LEN","GO:0005515","protein binding","molecular_function","3N@62.06","Pavir.3NG140901","AT1G13570","","F-box/RNI-like superfamily protein","LOC_Os02g33400","OsFBL9 - F-box domain and LRR containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","3N@62.06","Pavir.3NG140909","AT3G09270","ATGSTU8,GSTU8","glutathione S-transferase TAU 8","LOC_Os05g34150","glutathione S-transferase, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","3N@62.06","Pavir.3NG141402","AT4G03020","","transducin family protein / WD-40 repeat family protein","LOC_Os05g33710","WD domain, G-beta repeat domain containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","4K@26.26","Pavir.4KG048905","AT3G20280","","RING/FYVE/PHD zinc finger superfamily protein","LOC_Os06g20410","BAH domain containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","4K@26.26","Pavir.4KG109400","AT3G06190","ATBPM2,BPM2","BTB-POZ and MATH domain 2","LOC_Os10g29110","MBTB45 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with Meprin and TRAF Homology MATH domain, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","4K@26.26","Pavir.4KG109800","AT5G19000","ATBPM1,BPM1","BTB-POZ and MATH domain 1","LOC_Os10g28770","MBTB34 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with Meprin and TRAF Homology MATH domain, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","4K@26.26","Pavir.4KG110200","AT2G39760","ATBPM3,BPM3","BTB/POZ/MATH-domains containing protein","LOC_Os10g28770","MBTB34 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with Meprin and TRAF Homology MATH domain, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","4K@26.26","Pavir.4KG110400","AT5G19000","ATBPM1,BPM1","BTB-POZ and MATH domain 1","LOC_Os10g28770","MBTB34 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with Meprin and TRAF Homology MATH domain, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","4K@26.26","Pavir.4KG111440","AT5G14530","","Transducin/WD40 repeat-like superfamily protein","LOC_Os05g46570","WD domain, G-beta repeat domain containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","4K@26.26","Pavir.4KG114400","AT2G04740","","ankyrin repeat family protein","LOC_Os06g21330","ABB1 - Ankyrin repeat region with 2 Bric-a-Brac, Tramtrack, Broad Complex BTB domains, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","4K@26.26","Pavir.4KG115800","AT3G57680","","Peptidase S41 family protein","LOC_Os06g21380","OsCttP3 - Putative C-terminal processing peptidase homologue, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","4K@26.26","Pavir.4KG129400","AT5G38840","","SMAD/FHA domain-containing protein ","LOC_Os06g16430","FHA domain containing protein, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","4K@26.26","Pavir.4KG129700","AT5G66240","","Transducin/WD40 repeat-like superfamily protein","LOC_Os07g40030","WD domain, G-beta repeat domain containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","4K@26.26","Pavir.4KG130200","AT3G05670","","RING/U-box protein","LOC_Os06g17280","PHD-finger family protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","4K@26.26","Pavir.4KG133900","AT1G03370","","C2 calcium/lipid-binding and GRAM domain containing protein","LOC_Os06g19400","GRAM and C2 domains containing protein, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","4K@26.26","Pavir.4KG134200","AT3G13225","","WW domain-containing protein","LOC_Os06g19470","WW domain containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","4K@26.26","Pavir.4KG142245","AT5G19000","ATBPM1,BPM1","BTB-POZ and MATH domain 1","LOC_Os06g45730","MBTB11 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with Meprin and TRAF Homology MATH domain, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","4K@26.26","Pavir.4KG161800","AT3G25460","","F-box and associated interaction domains-containing protein","LOC_Os04g11790","OsFBX120 - F-box domain containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","4K@26.26","Pavir.4KG162400","AT3G03360","","F-box/RNI-like superfamily protein","LOC_Os06g36220","OsFBX198 - F-box domain containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","4K@26.26","Pavir.4KG163300","AT5G16000","NIK1","NSP-interacting kinase 1","LOC_Os06g16330","BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1 precursor, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","4K@26.26","Pavir.4KG168600","AT5G21040","FBX2","F-box protein 2","LOC_Os04g52870","OsFBW1 - F-box domain and WD40 repeat containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","4K@26.26","Pavir.4KG173800","AT1G74590","ATGSTU10,GSTU10","glutathione S-transferase TAU 10","LOC_Os06g12290","glutathione S-transferase GSTU6, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","4K@26.26","Pavir.4KG181600","AT3G17640","","Leucine-rich repeat (LRR) family protein","LOC_Os06g28480","polygalacturonase inhibitor 1 precursor, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","4K@26.26","Pavir.4KG195600","AT1G24130","","Transducin/WD40 repeat-like superfamily protein","LOC_Os06g13140","WD domain, G-beta repeat domain containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","4K@26.26","Pavir.4KG198100","AT5G40200","DegP9","DegP protease 9","LOC_Os06g12780","OsDegp10 - Putative Deg protease homologue, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","4K@26.26","Pavir.4KG198700","AT5G16710","DHAR3","dehydroascorbate reductase 1","LOC_Os06g12630","glutathione S-transferase, N-terminal domain containing protein, expressed","OsDHAR2 "
"LEN","GO:0005515","protein binding","molecular_function","4K@26.26","Pavir.4KG209000","AT2G46500","ATPI4K GAMMA 4,PI4K GAMMA 4,UBDK GAMMA 4","phosphoinositide 4-kinase gamma 4","LOC_Os06g23290","phosphatidylinositol 3- and 4-kinase family protein, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","4K@26.26","Pavir.4KG212900","AT2G15790","CYP40,SQN","peptidyl-prolyl cis-trans isomerase / cyclophilin-40 (CYP40) / rotamase","LOC_Os06g11320","peptidyl-prolyl cis-trans isomerase CYP40, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","4K@26.26","Pavir.4KG214900","AT2G22125","CSI1","binding","LOC_Os06g11990","expressed protein",NA
"LEN","GO:0005515","protein binding","molecular_function","4K@26.26","Pavir.4KG232410","AT5G43810","AGO10,PNH,ZLL","Stabilizer of iron transporter SufD / Polynucleotidyl transferase","LOC_Os06g51310","PAZ domain containing protein, putative, expressed","OsAGO1d "
"LEN","GO:0005515","protein binding","molecular_function","4K@26.26","Pavir.4KG235300","AT3G61590","HS,HWS","Galactose oxidase/kelch repeat superfamily protein","LOC_Os02g15950","OsFBK5 - F-box domain and kelch repeat containing protein, expressed","EP3|LP "
"LEN","GO:0005515","protein binding","molecular_function","4K@26.26","Pavir.4KG239700","AT3G49260","iqd21","IQ-domain 21","LOC_Os06g23390","IQ calmodulin-binding motif family protein, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","4K@26.26","Pavir.4KG258600","AT1G64230","UBC28","ubiquitin-conjugating enzyme 28","LOC_Os02g16040","ubiquitin-conjugating enzyme, putative, expressed","OsUBC5b "
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG440300","AT1G47890","AtRLP7,RLP7","receptor like protein 7","LOC_Os12g11720","verticillium wilt disease resistance protein precursor, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG473800","AT1G74690","IQD31","IQ-domain 31","LOC_Os01g51840","IQ calmodulin-binding motif family protein, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG476100","AT1G68400","","leucine-rich repeat transmembrane protein kinase family protein","LOC_Os01g51400","Leucine Rich Repeat family protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG479000","AT2G19520","ACG1,ATMSI4,FVE,MSI4,NFC04,NFC4","Transducin family protein / WD-40 repeat family protein","LOC_Os01g51300","WD domain, G-beta repeat domain containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG480200","AT2G26180","IQD6","IQ-domain 6","LOC_Os01g51230","IQ calmodulin-binding motif domain containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG483700","AT5G46330","FLS2","Leucine-rich receptor-like protein kinase family protein","LOC_Os11g46980","receptor-like protein kinase 2 precursor, putative, expressed","RKe "
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG483707","AT5G46330","FLS2","Leucine-rich receptor-like protein kinase family protein","LOC_Os11g46980","receptor-like protein kinase 2 precursor, putative, expressed","RKe "
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG493300","AT4G26090","RPS2","NB-ARC domain-containing disease resistance protein","LOC_Os01g57870","disease resistance protein RPS2, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG494200","AT1G23390","","Kelch repeat-containing F-box family protein","LOC_Os01g50840","expressed protein",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG517200","AT3G15354","SPA3","SPA1-related 3","LOC_Os01g52640","suppressor of phythchrome A, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG520800","AT2G42800","AtRLP29,RLP29","receptor like protein 29","LOC_Os01g52880","leucine-rich repeat family protein, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG521900","AT5G54820","","F-box/RNI-like superfamily protein","LOC_Os01g52980","OsFBX23 - F-box domain containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG523500","AT5G25930","","Protein kinase family protein with leucine-rich repeat domain","LOC_Os01g53920","receptor-like protein kinase 5 precursor, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG528300","AT5G25930","","Protein kinase family protein with leucine-rich repeat domain","LOC_Os01g53920","receptor-like protein kinase 5 precursor, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG529000","AT3G16490","IQD26","IQ-domain 26","LOC_Os01g53980","IQ calmodulin-binding motif family protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG538400","AT3G19510","HAT3.1","Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain","LOC_Os06g12400","Homeobox domain containing protein, expressed","HAZ1|HOX1a "
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG540700","AT4G18760","AtRLP51,RLP51","receptor like protein 51","LOC_Os01g54630","leucine rich repeat family protein, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG541600","AT1G61330","","FBD, F-box and Leucine Rich Repeat domains containing protein","LOC_Os01g54850","OsFBX24 - F-box domain containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG542800","AT3G09250","","Nuclear transport factor 2 (NTF2) family protein","LOC_Os01g54960","expressed protein",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG543507","","","","","",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG546400","AT1G63640","","P-loop nucleoside triphosphate hydrolases superfamily protein with CH (Calponin Homology) domain","LOC_Os01g54080","kinesin motor protein-related, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG547500","AT2G16485","","nucleic acid binding;zinc ion binding;DNA binding","LOC_Os09g36090","plus-3 domain containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG557300","AT3G62760","ATGSTF13","Glutathione S-transferase family protein","LOC_Os01g55830","glutathione S-transferase, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG562400","AT5G45110","ATNPR3,NPR3","NPR1-like protein 3","LOC_Os01g56200","BTBA2 - Bric-a-Brac,Tramtrack, Broad Complex BTB domain with Ankyrin repeat region, expressed","NH2 "
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG564600","AT1G35710","","Protein kinase family protein with leucine-rich repeat domain","LOC_Os10g02990","leucine-rich repeat receptor-like protein kinase 1, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG565400","AT5G06600","UBP12","ubiquitin-specific protease 12","LOC_Os01g56490","ubiquitin carboxyl-terminal hydrolase, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG569700","AT1G04300","","TRAF-like superfamily protein","LOC_Os01g56800","MATH domain containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG570100","AT2G26490","","Transducin/WD40 repeat-like superfamily protein","LOC_Os01g13140","WD domain, G-beta repeat domain containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG570200","AT2G16405","","Transducin/WD40 repeat-like superfamily protein","LOC_Os01g56860","WD domain, G-beta repeat domain containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG570900","AT3G63220","","Galactose oxidase/kelch repeat superfamily protein","LOC_Os10g24900","OsFBK22 - F-box domain and kelch repeat containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG572300","AT1G61210","","Transducin/WD40 repeat-like superfamily protein","LOC_Os01g57210","katanin p80 WD40 repeat-containing subunit B1 homolog 1, putative, expressed","OsKTN80c|OsWD40-26 "
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG572500","AT5G03250","","Phototropic-responsive NPH3 family protein","LOC_Os01g57230","BTBN1 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with non-phototropic hypocotyl 3 NPH3 and coiled-coil domains, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG575700","AT4G05460","","RNI-like superfamily protein","LOC_Os08g09480","OsFBX268 - F-box domain containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG588400","AT2G42730","","F-box family protein","LOC_Os04g19920","OsFBL13 - F-box domain and LRR containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG596100","AT5G21090","","Leucine-rich repeat (LRR) family protein","LOC_Os01g59440","BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1 precursor, putative, expressed","OsLRR1 "
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG599600","AT5G01830","","ARM repeat superfamily protein","LOC_Os01g60860","spotted leaf 11, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG600200","AT2G40815","","Calcium-dependent lipid-binding (CaLB domain) family protein","LOC_Os09g39770","C2 domain containing protein, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG600800","AT1G06840","","Leucine-rich repeat protein kinase family protein","LOC_Os05g40270","expressed protein",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG601500","AT5G58300","","Leucine-rich repeat protein kinase family protein","LOC_Os01g60330","inactive receptor kinase At2g26730 precursor, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG601600","AT3G08690","ATUBC11,UBC11","ubiquitin-conjugating enzyme 11","LOC_Os01g60410","ubiquitin-conjugating enzyme, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG603200","AT3G56370","","Leucine-rich repeat protein kinase family protein","LOC_Os01g60670","receptor-like protein kinase precursor, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG604700","AT3G51780","ATBAG4,BAG4","BCL-2-associated athanogene 4","LOC_Os01g61500","BAG domain containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG606700","AT5G03040","iqd2","IQ-domain 2","LOC_Os01g61720","IQ calmodulin-binding motif domain containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG616000","AT5G41380","","CCT motif family protein","LOC_Os01g61900","CCT motif family protein, expressed","OsCCT01 "
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG621600","AT3G55470","","Calcium-dependent lipid-binding (CaLB domain) family protein","LOC_Os01g62430","C2 domain containing protein, putative, expressed","Rpp17|OsERG1 "
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG644407","AT1G07310","","Calcium-dependent lipid-binding (CaLB domain) family protein","LOC_Os01g63470","C2 domain containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG646500","AT2G39940","COI1","RNI-like superfamily protein","LOC_Os01g63420","OsFBL4 - F-box domain and LRR containing protein, expressed","OsCOI1|OsCOI1a "
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG652900","AT1G27840","ATCSA-1","Transducin/WD40 repeat-like superfamily protein","LOC_Os02g20430","WD domain, G-beta repeat domain containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG654800","AT1G67190","","F-box/RNI-like superfamily protein","LOC_Os01g64030","OsFBL5 - F-box domain and LRR containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG658700","AT1G25280","AtTLP10,TLP10","tubby like protein 10","LOC_Os01g64700","OsFBT3 - F-box and tubby domain containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG671300","AT5G07610","","F-box family protein","LOC_Os01g65510","OsFBX31 - F-box domain containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG672100","AT1G33420","","RING/FYVE/PHD zinc finger superfamily protein","LOC_Os01g65600","PHD-finger domain containing protein, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG672500","AT1G72180","","Leucine-rich receptor-like protein kinase family protein","LOC_Os01g65650","receptor-like protein kinase HAIKU2 precursor, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG673400","AT3G56570","","SET domain-containing protein","LOC_Os01g65730","SET domain containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG675500","AT1G21410","SKP2A","F-box/RNI-like superfamily protein","LOC_Os01g65920","F-box/LRR-repeat protein 2, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG676800","AT1G77250","","RING/FYVE/PHD-type zinc finger family protein","LOC_Os08g01420","PHD-finger domain containing protein, putative, expressed","Ehd3 "
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG681000","AT3G42790","AL3","alfin-like 3","LOC_Os05g34640","PHD finger protein, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG682200","AT5G44940","","F-box/RNI-like superfamily protein","LOC_Os01g41260","OsFBD2 - F-box and FBD domain containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG692800","AT5G48380","BIR1","BAK1-interacting receptor-like kinase 1","LOC_Os01g66820","inactive receptor kinase At1g27190 precursor, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG693000","AT5G48380","BIR1","BAK1-interacting receptor-like kinase 1","LOC_Os01g66820","inactive receptor kinase At1g27190 precursor, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG693800","AT1G05690","BT3","BTB and TAZ domain protein 3","LOC_Os01g66890","BTBZ1 - Bric-a-Brac, Tramtrack, and Broad Complex BTB domain with TAZ zinc finger and Calmodulin-binding domains, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG696000","AT2G43680","IQD14","IQ-domain 14","LOC_Os01g67090","IQ calmodulin-binding motif domain containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG702200","AT1G62390","","Octicosapeptide/Phox/Bem1p (PB1) domain-containing protein / tetratricopeptide repeat (TPR)-containing protein","LOC_Os09g04990","cytoskeletal protein, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG704900","AT5G63200","","tetratricopeptide repeat (TPR)-containing protein","LOC_Os01g67920","tetratricopeptide repeat domain containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG705000","AT3G49030","","FBD, F-box and Leucine Rich Repeat domains containing protein","LOC_Os02g06520","OsFBLD1 - F-box, LRR and FBD domain containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG705100","AT5G02930","","F-box/RNI-like superfamily protein","LOC_Os02g06520","OsFBLD1 - F-box, LRR and FBD domain containing protein, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG705400","AT5G14360","","Ubiquitin-like superfamily protein","LOC_Os01g67950","ubiquitin family protein, putative, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5K@76.02","Pavir.5KG705700","AT2G39760","ATBPM3,BPM3","BTB/POZ/MATH-domains containing protein","LOC_Os10g28780","MBTB35 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with Meprin and TRAF Homology MATH domain, expressed",NA
"LEN","GO:0005515","protein binding","molecular_function","5N@36.27","Pavir.5NG141400","AT5G23950","","Calcium-dependent lipid-binding (CaLB domain) family protein","LOC_Os08g44850","C2 domain containing protein, putative, expressed",NA
