"chr","QTL","pos_lo","pos_hi","TRAIT","seqid","source","type","start","end","locusName","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline","OsGene"
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5040755,5041752,"Pavir.5KG066987","","","","","LOC_Os11g01720","expressed protein",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5070367,5073866,"Pavir.5KG067600","","AT3G15550","","","LOC_Os01g08150","expressed protein",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5073939,5077479,"Pavir.5KG067700","","AT1G52770","","Phototropic-responsive NPH3 family protein","LOC_Os05g08530","phototropic-responsive NPH3 family protein, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5046570,5047445,"Pavir.5KG067774","","AT1G19350","BES1,BZR2","Brassinosteroid signalling positive regulator (BZR1) family protein","LOC_Os01g08180","BRASSINAZOLE-RESISTANT 2, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5079840,5082132,"Pavir.5KG067800","","AT2G29760","OTP81","Tetratricopeptide repeat (TPR)-like superfamily protein","LOC_Os01g08120","pentatricopeptide, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5083625,5085347,"Pavir.5KG067900","GO:0016758,GO:0008152","AT3G53150","UGT73D1","UDP-glucosyl transferase 73D1","LOC_Os01g08110","flavonol-3-O-glycoside-7-O-glucosyltransferase 1, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5087090,5088991,"Pavir.5KG068000","GO:0016758,GO:0008152","AT2G36800","DOGT1,UGT73C5","don-glucosyltransferase 1","LOC_Os10g09990","cytokinin-O-glucosyltransferase 3, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5094184,5100129,"Pavir.5KG068100","GO:0016021,GO:0006820,GO:0016020,GO:0005452","AT1G15460","ATBOR4,BOR4","HCO3- transporter family","LOC_Os01g08020","boron transporter protein, putative, expressed","BOR2 "
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5142662,5146434,"Pavir.5KG068200","","AT5G20060","","alpha/beta-Hydrolases superfamily protein","LOC_Os01g07960","acyl-protein thioesterase, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5150219,5156296,"Pavir.5KG068400","GO:0006468,GO:0004672,GO:0005524","AT2G26700","PID2","AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein","LOC_Os01g07940","AGC_PVPK_like_kin82y.3 - ACG kinases include homologs to PKA, PKG and PKC, expressed","OsPIDlike "
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5161398,5162604,"Pavir.5KG068500","GO:0046872","AT3G19360","","Zinc finger (CCCH-type) family protein","LOC_Os01g07930","zinc finger C-x8-C-x5-C-x3-H type family protein, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5047702,5051335,"Pavir.5KG068561","","AT1G52780","","Protein of unknown function (DUF2921)","LOC_Os01g08170","expressed protein",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5083052,5083372,"Pavir.5KG068587","GO:0016758,GO:0008152","AT2G36790","UGT73C6","UDP-glucosyl transferase 73C6","LOC_Os01g08100","flavonol-3-O-glycoside-7-O-glucosyltransferase 1, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5163155,5164935,"Pavir.5KG068600","","","","","","",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5165385,5170128,"Pavir.5KG068700","GO:0055114,GO:0016491","AT5G20080","","FAD/NAD(P)-binding oxidoreductase","LOC_Os01g07910","NADH-cytochrome b5 reductase, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5171757,5172510,"Pavir.5KG068800","","AT1G80180","","","LOC_Os01g07890","expressed protein",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5104574,5105644,"Pavir.5KG068887","","AT3G15630","","","LOC_Os01g07970","expressed protein",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5181015,5181804,"Pavir.5KG068900","GO:0043565,GO:0006355,GO:0003700","AT5G11260","HY5,TED 5","Basic-leucine zipper (bZIP) transcription factor family protein","LOC_Os01g07880","transcription factor HY5, putative, expressed","OsbZIP01 "
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5147046,5148368,"Pavir.5KG068987","GO:0045454,GO:0015035,GO:0009055","AT3G15660","ATGRX4,GRX4","glutaredoxin 4","LOC_Os01g34620","OsGrx_S15.1 - glutaredoxin subgroup II, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5182152,5188164,"Pavir.5KG069000","GO:0016887,GO:0005524,GO:0055085,GO:0042626,GO:0016021,GO:0006810","AT3G13080","ATMRP3,MRP3","multidrug resistance-associated protein 3","LOC_Os01g07870","ABC transporter family protein, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5204328,5210995,"Pavir.5KG069200","","AT4G32410","AtCESA1,CESA1,RSW1","cellulose synthase 1","LOC_Os05g08370","CESA1 - cellulose synthase, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5211669,5216264,"Pavir.5KG069300","","AT1G80160","","Lactoylglutathione lyase / glyoxalase I family protein","LOC_Os01g07850","glyoxalase family protein, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5053179,5056684,"Pavir.5KG069348","","AT2G03500","","Homeodomain-like superfamily protein","LOC_Os01g08160","MYB family transcription factor, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5225600,5227668,"Pavir.5KG069400","GO:0003676","AT2G34160","","Alba DNA/RNA-binding protein","LOC_Os01g07810","protein of unknown function domain containing protein, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5228421,5230160,"Pavir.5KG069500","","AT1G52590","","Putative thiol-disulphide oxidoreductase DCC","LOC_Os01g07800","thiol-disulphide oxidoreductase DCC, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5229791,5232020,"Pavir.5KG069600","GO:0005975,GO:0004650","AT5G44840","","Pectin lyase-like superfamily protein","LOC_Os01g07790","polygalacturonase, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5119609,5123131,"Pavir.5KG069674","GO:0055114,GO:0020037,GO:0016705,GO:0005506","AT2G26710","BAS1,CYP72B1,CYP734A1","Cytochrome P450 superfamily protein","LOC_Os01g29150","cytochrome P450 72A1, putative, expressed","CYP734A6 "
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5246949,5260372,"Pavir.5KG069700","GO:0055114,GO:0020037,GO:0006979,GO:0004601","AT2G41480","","Peroxidase superfamily protein","LOC_Os01g07770","peroxidase precursor, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5193727,5194398,"Pavir.5KG069787","","","","","LOC_Os04g19640","expressed protein",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5060122,5060442,"Pavir.5KG070135","","","","","","",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5268370,5272450,"Pavir.5KG070200","GO:0005515,GO:0003824","AT3G15730","PLD,PLDALPHA1","phospholipase D alpha 1","LOC_Os01g07760","phospholipase D, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5273182,5275383,"Pavir.5KG070300","GO:0042254,GO:0005634","AT2G37990","","ribosome biogenesis regulatory protein (RRS1) family protein","LOC_Os04g58830","ribosome biogenesis regulatory protein, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5236701,5237825,"Pavir.5KG070387","","AT2G41475","","Embryo-specific protein 3, (ATS3)","LOC_Os01g07780","embryo-specific 3, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5277236,5280548,"Pavir.5KG070400","","AT3G15770","","","LOC_Os01g07750","expressed protein",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5280853,5286187,"Pavir.5KG070500","GO:0016787,GO:0005524,GO:0003677,GO:0005515","AT3G01540","ATDRH1,DRH1","DEAD box RNA helicase 1","LOC_Os01g07740","DEAD-box ATP-dependent RNA helicase 14, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5285737,5288120,"Pavir.5KG070600","","AT5G33320","ARAPPT,CUE1,PPT","Glucose-6-phosphate/phosphate translocator-related","LOC_Os01g07730","phosphate/phosphoenolpyruvate translocator-related protein, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5291655,5295543,"Pavir.5KG070700","GO:0016758,GO:0016021,GO:0005783","AT2G47760","ALG3,AtALG3","asparagine-linked glycosylation 3","LOC_Os01g07720","dolichyl-P-Man Man-PP-dolichyl mannosyltransferase, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5299663,5304462,"Pavir.5KG070900","","AT5G62960","","","LOC_Os01g07700","expressed protein",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5308659,5313826,"Pavir.5KG071100","GO:0005515,GO:0006468,GO:0004672","AT1G60800","NIK3","NSP-interacting kinase 3","LOC_Os01g07630","BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1 precursor, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5314179,5315024,"Pavir.5KG071200","","","","","","",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5315190,5316315,"Pavir.5KG071400","","","","","LOC_Os01g07620","expressed protein",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5318449,5321780,"Pavir.5KG071600","","AT1G66345","","Pentatricopeptide repeat (PPR) superfamily protein","LOC_Os01g07610","PPR repeat domain containing protein, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5322152,5322932,"Pavir.5KG071700","GO:0006950","AT3G17020","","Adenine nucleotide alpha hydrolases-like superfamily protein","LOC_Os01g07590","universal stress protein domain containing protein, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5323728,5327296,"Pavir.5KG071800","","","","","LOC_Os01g07590","universal stress protein domain containing protein, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5348976,5354215,"Pavir.5KG072200","","AT1G23340","","Protein of Unknown Function (DUF239)","LOC_Os01g07570","carboxyl-terminal proteinase, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5366503,5373608,"Pavir.5KG072400","GO:0003676","AT4G34140","","D111/G-patch domain-containing protein","LOC_Os01g07540","G-patch domain containing protein, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5344613,5345527,"Pavir.5KG072587","","AT2G38360","PRA1.B4","prenylated RAB acceptor 1.B4","LOC_Os05g39670","prenylated rab acceptor, putative, expressed","OsPRA1 "
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5400845,5404599,"Pavir.5KG072800","","AT5G40390","SIP1","Raffinose synthase family protein","LOC_Os01g07530","uncharacterized glycosyltransferase, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5405466,5409778,"Pavir.5KG072900","","AT3G01560","","Protein of unknown function (DUF1421)","LOC_Os01g07520","proline-rich family protein, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5357716,5361798,"Pavir.5KG072987","GO:0005515,GO:0006468,GO:0004672","AT5G56040","","Leucine-rich receptor-like protein kinase family protein","LOC_Os01g07560","receptor-like protein kinase 2 precursor, putative, expressed",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5415604,5417311,"Pavir.5KG073000","","","","","","",NA
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5493712,5498370,"Pavir.5KG073100","GO:0016846","AT4G24670","TAR2","tryptophan aminotransferase related 2","LOC_Os01g07500","alliin lyase precursor, putative, expressed","FIB "
"Chr05K","5K@14.06",4388419,8204815,"PRM","Chr05K","phytozomev13","gene",5369413,5370460,"Pavir.5KG073187","","","","","LOC_Os11g13760","retrotransposon protein, putative, unclassified",NA
