CHR,region_start,region_end,width,region_strand,Annotation,QUERYID,TXID,Gene ID,log10BayesFactor,POS,marker.ID,CHRN,Num_Sig_Conditions,gene_start,gene_end,gene_width,gene_strand,pacId,transcriptName,peptideName,Pfam,Panther Categories,KOG,ec,KO,GO,Arabidopsis thaliana homolog,A. thaliana gene name,A. thaliana gene annotation,Rice homolog,Rice gene name,Rice gene annotation,d2_start,d2_end,distance from gene
Chr01K,1659357,1679357,20001,+,spliceSite,4,4031,Pavir.1KG014500,2.056239635396389,1669357,Chr01K_1669357,1,6,1665041,1668135,3095,-,41617784,Pavir.1KG014500.1,Pavir.1KG014500.1.p,"PF02358,PF00982","PTHR10788,PTHR10788:SF27",KOG1050,2.4.1.15,K16055,"GO:0005992,GO:0003824",AT1G23870.1,"ATTPS9,TPS9",trehalose-phosphatase/synthase 9,LOC_Os09g25890.1,NA,"trehalose-6-phosphate synthase, putative, expressed",4316,1222,1222
Chr01K,2156182,2176182,20001,+,spliceSite,5,176,Pavir.1KG028800,2.0549287460973757,2166182,Chr01K_2166182,1,9,2159603,2162381,2779,+,41622117,Pavir.1KG028800.1,Pavir.1KG028800.1.p,NA,"PTHR12565,PTHR12565:SF113",NA,NA,NA,NA,AT1G29950.2,NA,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,LOC_Os03g39432.1,NA,"CPuORF31 - conserved peptide uORF-containing transcript, expressed",6579,3801,3801
Chr01K,2156182,2176182,20001,+,spliceSite,5,177,Pavir.1KG028900,2.0549287460973757,2166182,Chr01K_2166182,1,9,2166576,2168962,2387,+,41624073,Pavir.1KG028900.1,Pavir.1KG028900.1.p,NA,"PTHR12565,PTHR12565:SF113",NA,NA,NA,NA,AT1G29950.1,NA,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,LOC_Os03g39432.2,NA,"CPuORF31 - conserved peptide uORF-containing transcript, expressed",-394,-2780,394
Chr01K,2670432,2690432,20001,+,spliceSite,6,222,Pavir.1KG035400,2.422736118577316,2680432,Chr01K_2680432,1,9,2677082,2695583,18502,+,41620904,Pavir.1KG035400.1,Pavir.1KG035400.1.p,NA,"PTHR12242,PTHR12242:SF3",NA,NA,NA,NA,AT5G62960.1,NA,NA,LOC_Os02g03790.1,NA,expressed protein,3350,-15151,3350
Chr01K,2670432,2690432,20001,+,spliceSite,6,223,Pavir.1KG035400,2.422736118577316,2680432,Chr01K_2680432,1,9,2677082,2695583,18502,+,41620904,Pavir.1KG035400.1,Pavir.1KG035400.1.p,NA,"PTHR12242,PTHR12242:SF3",NA,NA,NA,NA,AT5G62960.1,NA,NA,LOC_Os02g03790.1,NA,expressed protein,3350,-15151,3350
Chr01K,2670432,2690432,20001,+,spliceSite,6,224,Pavir.1KG035400,2.422736118577316,2680432,Chr01K_2680432,1,9,2677082,2695583,18502,+,41620904,Pavir.1KG035400.1,Pavir.1KG035400.1.p,NA,"PTHR12242,PTHR12242:SF3",NA,NA,NA,NA,AT5G62960.1,NA,NA,LOC_Os02g03790.1,NA,expressed protein,3350,-15151,3350
Chr01K,2670432,2690432,20001,+,spliceSite,6,4125,Pavir.1KG035300,2.422736118577316,2680432,Chr01K_2680432,1,9,2673123,2675878,2756,-,41618990,Pavir.1KG035300.1,Pavir.1KG035300.1.p,PF13920,"PTHR10044,PTHR10044:SF105",KOG1100,6.3.2.19,K19042,NA,AT1G60610.2,NA,SBP (S-ribonuclease binding protein) family protein,LOC_Os02g03760.1,NA,expressed protein,7309,4554,4554
Chr01K,3779531,3799531,20001,+,spliceSite,7,355,Pavir.1KG046300,2.4585624779829818,3789531,Chr01K_3789531,1,7,3778704,3782155,3452,+,41624215,Pavir.1KG046300.1,Pavir.1KG046300.1.p,PF06203,"PTHR31874,PTHR31874:SF3",NA,NA,NA,GO:0005515,AT5G57180.1,CIA2,chloroplast import apparatus 2,LOC_Os02g05470.2,NA,"CCT motif family protein, expressed",10827,7376,7376
Chr01K,3779531,3799531,20001,+,spliceSite,7,356,Pavir.1KG046300,2.4585624779829818,3789531,Chr01K_3789531,1,7,3778704,3782155,3452,+,41624215,Pavir.1KG046300.1,Pavir.1KG046300.1.p,PF06203,"PTHR31874,PTHR31874:SF3",NA,NA,NA,GO:0005515,AT5G57180.1,CIA2,chloroplast import apparatus 2,LOC_Os02g05470.2,NA,"CCT motif family protein, expressed",10827,7376,7376
Chr01K,3779531,3799531,20001,+,spliceSite,7,357,Pavir.1KG046300,2.4585624779829818,3789531,Chr01K_3789531,1,7,3778704,3782155,3452,+,41624215,Pavir.1KG046300.1,Pavir.1KG046300.1.p,PF06203,"PTHR31874,PTHR31874:SF3",NA,NA,NA,GO:0005515,AT5G57180.1,CIA2,chloroplast import apparatus 2,LOC_Os02g05470.2,NA,"CCT motif family protein, expressed",10827,7376,7376
Chr01K,3779531,3799531,20001,+,spliceSite,7,358,Pavir.1KG046700,2.4585624779829818,3789531,Chr01K_3789531,1,7,3791071,3801258,10188,+,41618393,Pavir.1KG046700.1,Pavir.1KG046700.1.p,NA,"PTHR11915,PTHR11915:SF65",KOG4674,NA,NA,NA,AT4G31570.1,NA,NA,LOC_Os02g05490.1,NA,expressed protein,-1540,-11727,1540
Chr01K,3779531,3799531,20001,+,spliceSite,7,4235,Pavir.1KG046500,2.4585624779829818,3789531,Chr01K_3789531,1,7,3783588,3787322,3735,-,41624804,Pavir.1KG046500.1,Pavir.1KG046500.1.p,PF06293,"PTHR24055,PTHR24055:SF216",NA,2.7.11.24,K04371,"GO:0016773,GO:0016020,GO:0005524",AT1G10210.1,"ATMPK1,MPK1",mitogen-activated protein kinase 1,LOC_Os02g05480.1,NA,"CGMC_MAPKCMGC_2_SLT2y_ERK.1 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed",5943,2209,2209
Chr01K,4564199,4584199,20001,+,spliceSite,8,4307,Pavir.1KG058054,3.08434878595757,4574199,Chr01K_4574199,1,9,4571834,4572676,843,-,41624391,Pavir.1KG058054.1,Pavir.1KG058054.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2365,1523,1523
Chr01K,4571959,4591959,20001,+,spliceSite,9,4307,Pavir.1KG058054,2.0886457121061226,4581959,Chr01K_4581959,1,9,4571834,4572676,843,-,41624391,Pavir.1KG058054.1,Pavir.1KG058054.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10125,9283,9283
Chr01K,4626729,4646729,20001,+,spliceSite,10,426,Pavir.1KG062400,2.057490787801373,4636729,Chr01K_4636729,1,7,4625683,4630487,4805,+,41624792,Pavir.1KG062400.1,Pavir.1KG062400.1.p,PF10250,"PTHR31933,PTHR31933:SF1",NA,NA,NA,NA,AT3G26370.1,NA,O-fucosyltransferase family protein,LOC_Os02g06400.1,NA,"growth regulator related protein, putative, expressed",11046,6242,6242
Chr01K,4626729,4646729,20001,+,spliceSite,10,427,Pavir.1KG062500,2.057490787801373,4636729,Chr01K_4636729,1,7,4630715,4632527,1813,+,41621909,Pavir.1KG062500.1,Pavir.1KG062500.1.p,PF00571,"PTHR13780,PTHR13780:SF51",KOG1764,NA,NA,NA,AT1G15330.1,NA,Cystathionine beta-synthase (CBS) protein,LOC_Os02g06410.1,NA,"CBS domain containing membrane protein, putative, expressed",6014,4202,4202
Chr01K,4626729,4646729,20001,+,spliceSite,10,428,Pavir.1KG062500,2.057490787801373,4636729,Chr01K_4636729,1,7,4630715,4632527,1813,+,41621909,Pavir.1KG062500.1,Pavir.1KG062500.1.p,PF00571,"PTHR13780,PTHR13780:SF51",KOG1764,NA,NA,NA,AT1G15330.1,NA,Cystathionine beta-synthase (CBS) protein,LOC_Os02g06410.1,NA,"CBS domain containing membrane protein, putative, expressed",6014,4202,4202
Chr01K,4626729,4646729,20001,+,spliceSite,10,429,Pavir.1KG062600,2.057490787801373,4636729,Chr01K_4636729,1,7,4638074,4642730,4657,+,41619420,Pavir.1KG062600.1,Pavir.1KG062600.1.p,PF03398,"PTHR12161,PTHR12161:SF24",KOG2027,NA,NA,NA,AT4G32350.1,NA,Regulator of Vps4 activity in the MVB pathway protein,LOC_Os02g06430.1,NA,"DUF292 domain containing protein, expressed",-1345,-6001,1345
Chr01K,4626729,4646729,20001,+,spliceSite,10,430,Pavir.1KG062600,2.057490787801373,4636729,Chr01K_4636729,1,7,4638074,4642730,4657,+,41619420,Pavir.1KG062600.1,Pavir.1KG062600.1.p,PF03398,"PTHR12161,PTHR12161:SF24",KOG2027,NA,NA,NA,AT4G32350.1,NA,Regulator of Vps4 activity in the MVB pathway protein,LOC_Os02g06430.1,NA,"DUF292 domain containing protein, expressed",-1345,-6001,1345
Chr01K,4626729,4646729,20001,+,spliceSite,10,431,Pavir.1KG062600,2.057490787801373,4636729,Chr01K_4636729,1,7,4638074,4642730,4657,+,41619420,Pavir.1KG062600.1,Pavir.1KG062600.1.p,PF03398,"PTHR12161,PTHR12161:SF24",KOG2027,NA,NA,NA,AT4G32350.1,NA,Regulator of Vps4 activity in the MVB pathway protein,LOC_Os02g06430.1,NA,"DUF292 domain containing protein, expressed",-1345,-6001,1345
Chr01K,4626729,4646729,20001,+,spliceSite,10,432,Pavir.1KG062600,2.057490787801373,4636729,Chr01K_4636729,1,7,4638074,4642730,4657,+,41619420,Pavir.1KG062600.1,Pavir.1KG062600.1.p,PF03398,"PTHR12161,PTHR12161:SF24",KOG2027,NA,NA,NA,AT4G32350.1,NA,Regulator of Vps4 activity in the MVB pathway protein,LOC_Os02g06430.1,NA,"DUF292 domain containing protein, expressed",-1345,-6001,1345
Chr01K,4626729,4646729,20001,+,spliceSite,10,433,Pavir.1KG062800,2.057490787801373,4636729,Chr01K_4636729,1,7,4645067,4645915,849,+,41624379,Pavir.1KG062800.1,Pavir.1KG062800.1.p,PF00280,"PTHR33091,PTHR33091:SF5",NA,NA,NA,"GO:0009611,GO:0004867",AT5G43580.1,NA,"Serine protease inhibitor, potato inhibitor I-type family protein",LOC_Os06g21540.1,NA,"inhibitor I family protein, putative, expressed",-8338,-9186,8338
Chr01K,5461900,5481900,20001,+,spliceSite,11,4410,Pavir.1KG076200,2.4507744588855247,5471900,Chr01K_5471900,1,7,5476003,5478915,2913,-,41618817,Pavir.1KG076200.1,Pavir.1KG076200.1.p,PF03381,"PTHR10926,PTHR10926:SF30",KOG2952,NA,NA,GO:0016020,AT3G12740.1,ALIS1,ALA-interacting subunit 1,LOC_Os02g07750.1,NA,"cell cycle control protein, putative, expressed",-4103,-7015,4103
Chr01K,5461900,5481900,20001,+,spliceSite,11,532,Pavir.1KG075800,2.4507744588855247,5471900,Chr01K_5471900,1,7,5465646,5469523,3878,+,41620680,Pavir.1KG075800.1,Pavir.1KG075800.1.p,PF01467,"PTHR10739,PTHR10739:SF32",NA,2.7.7.15,K00968,"GO:0009058,GO:0003824",AT2G32260.1,"ATCCT1,CCT1",phosphorylcholine cytidylyltransferase,LOC_Os02g07720.2,NA,"cytidylyltransferase domain containing protein, expressed",6254,2377,2377
Chr01K,5461900,5481900,20001,+,spliceSite,11,533,Pavir.1KG076000,2.4507744588855247,5471900,Chr01K_5471900,1,7,5470696,5471710,1015,+,41624647,Pavir.1KG076000.5,Pavir.1KG076000.5.p,PF13419,"PTHR12725,PTHR12725:SF61",KOG3085,NA,NA,NA,AT5G44730.2,NA,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein,LOC_Os02g07730.1,NA,"haloacid dehalogenase-like hydrolase domain-containing protein 3, putative, expressed",1204,190,190
Chr01K,5461900,5481900,20001,+,spliceSite,11,534,Pavir.1KG076100,2.4507744588855247,5471900,Chr01K_5471900,1,7,5472309,5476888,4580,+,41618625,Pavir.1KG076100.1,Pavir.1KG076100.1.p,PF10672,"PTHR11061,PTHR11061:SF12",NA,2.1.1.191,NA,GO:0008168,AT1G54310.2,NA,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,LOC_Os02g07740.1,NA,"RNA binding protein, putative, expressed",-409,-4988,409
Chr01K,5461900,5481900,20001,+,spliceSite,11,535,Pavir.1KG076100,2.4507744588855247,5471900,Chr01K_5471900,1,7,5472309,5476888,4580,+,41618625,Pavir.1KG076100.1,Pavir.1KG076100.1.p,PF10672,"PTHR11061,PTHR11061:SF12",NA,2.1.1.191,NA,GO:0008168,AT1G54310.2,NA,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,LOC_Os02g07740.1,NA,"RNA binding protein, putative, expressed",-409,-4988,409
Chr01K,5461900,5481900,20001,+,spliceSite,11,536,Pavir.1KG076100,2.4507744588855247,5471900,Chr01K_5471900,1,7,5472309,5476888,4580,+,41618625,Pavir.1KG076100.1,Pavir.1KG076100.1.p,PF10672,"PTHR11061,PTHR11061:SF12",NA,2.1.1.191,NA,GO:0008168,AT1G54310.2,NA,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,LOC_Os02g07740.1,NA,"RNA binding protein, putative, expressed",-409,-4988,409
Chr01K,6129699,6149699,20001,+,spliceSite,12,584,Pavir.1KG081900,2.7085995361993667,6139699,Chr01K_6139699,1,9,6128135,6131912,3778,+,41623623,Pavir.1KG081900.2,Pavir.1KG081900.2.p,PF01966,"PTHR11845,PTHR11845:SF15",KOG3197,NA,K07023,NA,AT1G26160.1,NA,Metal-dependent phosphohydrolase,LOC_Os02g08260.1,NA,"HD domain containing protein 2, putative, expressed",11564,7787,7787
Chr01K,6129699,6149699,20001,+,spliceSite,12,585,Pavir.1KG081900,2.7085995361993667,6139699,Chr01K_6139699,1,9,6128135,6131912,3778,+,41623623,Pavir.1KG081900.2,Pavir.1KG081900.2.p,PF01966,"PTHR11845,PTHR11845:SF15",KOG3197,NA,K07023,NA,AT1G26160.1,NA,Metal-dependent phosphohydrolase,LOC_Os02g08260.1,NA,"HD domain containing protein 2, putative, expressed",11564,7787,7787
Chr01K,6129699,6149699,20001,+,spliceSite,12,586,Pavir.1KG081900,2.7085995361993667,6139699,Chr01K_6139699,1,9,6128135,6131912,3778,+,41623623,Pavir.1KG081900.2,Pavir.1KG081900.2.p,PF01966,"PTHR11845,PTHR11845:SF15",KOG3197,NA,K07023,NA,AT1G26160.1,NA,Metal-dependent phosphohydrolase,LOC_Os02g08260.1,NA,"HD domain containing protein 2, putative, expressed",11564,7787,7787
Chr01K,6129699,6149699,20001,+,spliceSite,12,587,Pavir.1KG082000,2.7085995361993667,6139699,Chr01K_6139699,1,9,6140710,6142636,1927,+,41618466,Pavir.1KG082000.1,Pavir.1KG082000.1.p,PF00201,"PTHR11926,PTHR11926:SF355",KOG1192,2.4.1.203,NA,"GO:0016758,GO:0008152",AT2G36780.1,NA,UDP-Glycosyltransferase superfamily protein,LOC_Os02g11700.1,NA,"cytokinin-O-glucosyltransferase 3, putative, expressed",-1011,-2937,1011
Chr01K,6164042,6184042,20001,*,intergenic,13,NA,NA,2.245935400542859,6174042,Chr01K_6174042,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chr01K,6685542,6705542,20001,+,spliceSite,14,632,Pavir.1KG090300,3.4169421627805185,6695542,Chr01K_6695542,1,7,6695071,6700814,5744,+,41623167,Pavir.1KG090300.1,Pavir.1KG090300.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,LOC_Os02g08540.1,NA,expressed protein,471,-5272,471
Chr01K,6685542,6705542,20001,+,spliceSite,14,633,Pavir.1KG090400,3.4169421627805185,6695542,Chr01K_6695542,1,7,6704813,6708912,4100,+,41618361,Pavir.1KG090400.2,Pavir.1KG090400.2.p,"PF03789,PF03791,PF03790,PF05920","PTHR11850,PTHR11850:SF127",KOG0773,NA,NA,"GO:0003677,GO:0005634,GO:0006355",AT5G25220.2,KNAT3,KNOTTED1-like homeobox gene 3,LOC_Os02g08544.1,NA,"homeobox protein knotted-1, putative, expressed",-9271,-13370,9271
Chr01K,6685542,6705542,20001,+,spliceSite,14,634,Pavir.1KG090400,3.4169421627805185,6695542,Chr01K_6695542,1,7,6704813,6708912,4100,+,41618361,Pavir.1KG090400.2,Pavir.1KG090400.2.p,"PF03789,PF03791,PF03790,PF05920","PTHR11850,PTHR11850:SF127",KOG0773,NA,NA,"GO:0003677,GO:0005634,GO:0006355",AT5G25220.2,KNAT3,KNOTTED1-like homeobox gene 3,LOC_Os02g08544.1,NA,"homeobox protein knotted-1, putative, expressed",-9271,-13370,9271
Chr01K,7290893,7310893,20001,+,spliceSite,15,4505,Pavir.1KG094400,2.257705000747435,7300893,Chr01K_7300893,1,9,7289983,7291839,1857,-,41619028,Pavir.1KG094400.1,Pavir.1KG094400.1.p,PF01165,PTHR21109,NA,NA,NA,"GO:0006412,GO:0005840,GO:0003735",AT3G27160.1,GHS1,Ribosomal protein S21 family protein,LOC_Os02g09590.1,NA,"ribosome, putative, expressed",10910,9054,9054
Chr01K,7290893,7310893,20001,+,spliceSite,15,4506,Pavir.1KG094900,2.257705000747435,7300893,Chr01K_7300893,1,9,7299423,7301033,1611,-,41621159,Pavir.1KG094900.2,Pavir.1KG094900.2.p,PF10280,"PTHR22890,PTHR22890:SF2",NA,NA,K15131,"GO:0016592,GO:0006357,GO:0001104",AT3G01435.1,NA,Expressed protein,LOC_Os02g09600.1,NA,expressed protein,1470,-140,140
Chr01K,7290893,7310893,20001,+,spliceSite,15,4507,Pavir.1KG095000,2.257705000747435,7300893,Chr01K_7300893,1,9,7302092,7303822,1731,-,41621938,Pavir.1KG095000.1,Pavir.1KG095000.1.p,NA,"PTHR32133,PTHR32133:SF92",NA,NA,NA,NA,NA,NA,NA,LOC_Os03g46510.1,NA,"OsFBX103 - F-box domain containing protein, expressed",-1199,-2929,1199
Chr01K,7290893,7310893,20001,+,spliceSite,15,676,Pavir.1KG094600,2.257705000747435,7300893,Chr01K_7300893,1,9,7296273,7297119,847,+,41621715,Pavir.1KG094600.1,Pavir.1KG094600.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4620,3774,3774
Chr01K,7290893,7310893,20001,+,spliceSite,15,677,Pavir.1KG095100,2.257705000747435,7300893,Chr01K_7300893,1,9,7306276,7307899,1624,+,41622212,Pavir.1KG095100.1,Pavir.1KG095100.1.p,PF00657,"PTHR22835,PTHR22835:SF276",NA,3.1.1.3,NA,GO:0016788,AT2G04570.1,NA,GDSL-like Lipase/Acylhydrolase superfamily protein,LOC_Os02g09610.1,NA,"GDSL-like lipase/acylhydrolase, putative, expressed",-5383,-7006,5383
Chr01K,7290893,7310893,20001,+,spliceSite,15,678,Pavir.1KG095477,2.257705000747435,7300893,Chr01K_7300893,1,9,7310378,7312439,2062,+,41618233,Pavir.1KG095477.1,Pavir.1KG095477.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9485,-11546,9485
Chr01K,7489111,7509111,20001,+,spliceSite,16,4522,Pavir.1KG097400,2.200503345574577,7499111,Chr01K_7499111,1,4,7503142,7505790,2649,-,41619655,Pavir.1KG097400.2,Pavir.1KG097400.2.p,PF05834,"PTHR13789,PTHR13789:SF249",NA,5.5.1.19,K06443,"GO:0016705,GO:0016117",AT3G10230.1,LYC,lycopene cyclase,LOC_Os02g09750.1,NA,"lycopene beta cyclase, chloroplast precursor, putative, expressed",-4031,-6679,4031
Chr01K,7489111,7509111,20001,+,spliceSite,16,4523,Pavir.1KG097400,2.200503345574577,7499111,Chr01K_7499111,1,4,7503142,7505790,2649,-,41619655,Pavir.1KG097400.2,Pavir.1KG097400.2.p,PF05834,"PTHR13789,PTHR13789:SF249",NA,5.5.1.19,K06443,"GO:0016705,GO:0016117",AT3G10230.1,LYC,lycopene cyclase,LOC_Os02g09750.1,NA,"lycopene beta cyclase, chloroplast precursor, putative, expressed",-4031,-6679,4031
Chr01K,7489111,7509111,20001,+,spliceSite,16,4524,Pavir.1KG097500,2.200503345574577,7499111,Chr01K_7499111,1,4,7506477,7508054,1578,-,41618378,Pavir.1KG097500.1,Pavir.1KG097500.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,LOC_Os02g09760.1,NA,expressed protein,-7366,-8943,7366
Chr01K,7489111,7509111,20001,+,spliceSite,16,686,Pavir.1KG097300,2.200503345574577,7499111,Chr01K_7499111,1,4,7497464,7503863,6400,+,41624313,Pavir.1KG097300.1,Pavir.1KG097300.1.p,"PF08263,PF13855,PF07714","PTHR27001,PTHR27001:SF47",KOG1187,2.7.10.2,NA,"GO:0005515,GO:0006468,GO:0004672",AT4G22130.1,SRF8,STRUBBELIG-receptor family 8,LOC_Os02g09740.1,NA,"STRUBBELIG-RECEPTOR FAMILY 7 precursor, putative, expressed",1647,-4752,1647
Chr01K,7489111,7509111,20001,+,spliceSite,16,687,Pavir.1KG097300,2.200503345574577,7499111,Chr01K_7499111,1,4,7497464,7503863,6400,+,41624313,Pavir.1KG097300.1,Pavir.1KG097300.1.p,"PF08263,PF13855,PF07714","PTHR27001,PTHR27001:SF47",KOG1187,2.7.10.2,NA,"GO:0005515,GO:0006468,GO:0004672",AT4G22130.1,SRF8,STRUBBELIG-receptor family 8,LOC_Os02g09740.1,NA,"STRUBBELIG-RECEPTOR FAMILY 7 precursor, putative, expressed",1647,-4752,1647
Chr01K,7489111,7509111,20001,+,spliceSite,16,688,Pavir.1KG097300,2.200503345574577,7499111,Chr01K_7499111,1,4,7497464,7503863,6400,+,41624313,Pavir.1KG097300.1,Pavir.1KG097300.1.p,"PF08263,PF13855,PF07714","PTHR27001,PTHR27001:SF47",KOG1187,2.7.10.2,NA,"GO:0005515,GO:0006468,GO:0004672",AT4G22130.1,SRF8,STRUBBELIG-receptor family 8,LOC_Os02g09740.1,NA,"STRUBBELIG-RECEPTOR FAMILY 7 precursor, putative, expressed",1647,-4752,1647
Chr01K,7489111,7509111,20001,+,spliceSite,16,689,Pavir.1KG097300,2.200503345574577,7499111,Chr01K_7499111,1,4,7497464,7503863,6400,+,41624313,Pavir.1KG097300.1,Pavir.1KG097300.1.p,"PF08263,PF13855,PF07714","PTHR27001,PTHR27001:SF47",KOG1187,2.7.10.2,NA,"GO:0005515,GO:0006468,GO:0004672",AT4G22130.1,SRF8,STRUBBELIG-receptor family 8,LOC_Os02g09740.1,NA,"STRUBBELIG-RECEPTOR FAMILY 7 precursor, putative, expressed",1647,-4752,1647
Chr01K,7550363,7570363,20001,+,spliceSite,17,4530,Pavir.1KG098200,2.0110193174687403,7560363,Chr01K_7560363,1,8,7549911,7550891,981,-,41618499,Pavir.1KG098200.1,Pavir.1KG098200.1.p,PF00170,"PTHR22952,PTHR22952:SF138",NA,NA,NA,"GO:0043565,GO:0006355,GO:0003700",AT3G30530.1,"ATBZIP42,bZIP42",basic leucine-zipper 42,LOC_Os02g09830.1,NA,"bZIP transcription factor domain containing protein, expressed",10452,9472,9472
