CHR,region_start,region_end,width,region_strand,Annotation,QUERYID,TXID,Gene ID,sum_log10BF,log10BF_PA,POS,marker.ID,CHRN,NumSigCond_PA,log10BF_PGS,NumSigCond_PGS,log10BF_KA,NumSigCond_KA,log10BF_KGS,NumSigCond_KGS,gene_start,gene_end,gene_width,gene_strand,pacId,transcriptName,peptideName,Pfam,Panther Categories,KOG,ec,KO,GO,Arabidopsis thaliana homolog,A. thaliana gene name,A. thaliana gene annotation,Rice homolog,Rice gene name,Rice gene annotation,d2_start,d2_end,distance from gene
Chr09K,62877457,62897457,20001,+,spliceSite,706,111982,Pavir.9KG620101,20.17503616,4.337255886,62887457,Chr09K_62887457,17,5,5.053435891,5,4.248520914,5,6.535823464,5,62892853,62893920,1068,+,41604243,Pavir.9KG620101.1,Pavir.9KG620101.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5396,-6463,5396
Chr09K,62877457,62897457,20001,+,spliceSite,706,117686,Pavir.9KG619900,20.17503616,4.337255886,62887457,Chr09K_62887457,17,5,5.053435891,5,4.248520914,5,6.535823464,5,62876041,62878535,2495,-,41603760,Pavir.9KG619900.1,Pavir.9KG619900.1.p,NA,"PTHR33086,PTHR33086:SF14",NA,NA,NA,NA,NA,NA,NA,LOC_Os01g14180.1,NA,expressed protein,11416,8922,8922
Chr09K,62877457,62897457,20001,+,spliceSite,706,117687,Pavir.9KG620001,20.17503616,4.337255886,62887457,Chr09K_62887457,17,5,5.053435891,5,4.248520914,5,6.535823464,5,62884772,62891950,7179,-,41599741,Pavir.9KG620001.1,Pavir.9KG620001.1.p,PF07762,"PTHR33086,PTHR33086:SF14",NA,NA,NA,NA,NA,NA,NA,LOC_Os01g14180.1,NA,expressed protein,2685,-4493,2685
Chr08K,40343574,40363574,20001,+,spliceSite,617,102440,Pavir.8KG269800,20.15262012,5.105415725,40353574,Chr08K_40353574,15,5,3.164251481,4,6.810128232,4,5.072824683,4,40350125,40352774,2650,-,41642826,Pavir.8KG269800.1,Pavir.8KG269800.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3449,800,800
Chr08K,40343574,40363574,20001,+,spliceSite,617,102441,Pavir.8KG271100,20.15262012,5.105415725,40353574,Chr08K_40353574,15,5,3.164251481,4,6.810128232,4,5.072824683,4,40354475,40362537,8063,-,41644324,Pavir.8KG271100.1,Pavir.8KG271100.1.p,NA,PTHR35512,NA,NA,NA,NA,AT5G43680.2,NA,NA,LOC_Os11g34950.1,NA,expressed protein,-901,-8963,901
Chr08K,40343574,40363574,20001,+,spliceSite,617,102442,Pavir.8KG271100,20.15262012,5.105415725,40353574,Chr08K_40353574,15,5,3.164251481,4,6.810128232,4,5.072824683,4,40354475,40362537,8063,-,41644324,Pavir.8KG271100.1,Pavir.8KG271100.1.p,NA,PTHR35512,NA,NA,NA,NA,AT5G43680.2,NA,NA,LOC_Os11g34950.1,NA,expressed protein,-901,-8963,901
Chr08K,40343574,40363574,20001,+,spliceSite,617,102443,Pavir.8KG271100,20.15262012,5.105415725,40353574,Chr08K_40353574,15,5,3.164251481,4,6.810128232,4,5.072824683,4,40354475,40362537,8063,-,41644324,Pavir.8KG271100.1,Pavir.8KG271100.1.p,NA,PTHR35512,NA,NA,NA,NA,AT5G43680.2,NA,NA,LOC_Os11g34950.1,NA,expressed protein,-901,-8963,901
Chr01N,66029644,66049644,20001,+,spliceSite,94,11148,Pavir.1NG555300,19.5201196,5.357026816,66039644,Chr01N_66039644,2,5,8.128817047,5,3.026070466,5,3.008205275,5,66030766,66032497,1732,+,41581854,Pavir.1NG555300.1,Pavir.1NG555300.1.p,PF07714,"PTHR27001,PTHR27001:SF196",KOG1187,2.7.11.1,NA,"GO:0006468,GO:0004672",AT3G57120.1,NA,Protein kinase superfamily protein,LOC_Os02g57440.1,NA,"LYK8, putative, expressed",8878,7147,7147
Chr01N,66029644,66049644,20001,+,spliceSite,94,11149,Pavir.1NG555100,19.5201196,5.357026816,66039644,Chr01N_66039644,2,5,8.128817047,5,3.026070466,5,3.008205275,5,66040014,66042407,2394,+,41582799,Pavir.1NG555100.2,Pavir.1NG555100.2.p,PF14226,"PTHR10209,PTHR10209:SF220",NA,1.14.11.24,NA,NA,AT4G10500.1,NA,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein,LOC_Os07g07410.2,NA,"oxidoreductase, 2OG-Fe oxygenase family protein, putative, expressed",-370,-2763,370
Chr01N,66029644,66049644,20001,+,spliceSite,94,11150,Pavir.1NG555100,19.5201196,5.357026816,66039644,Chr01N_66039644,2,5,8.128817047,5,3.026070466,5,3.008205275,5,66040014,66042407,2394,+,41582799,Pavir.1NG555100.2,Pavir.1NG555100.2.p,PF14226,"PTHR10209,PTHR10209:SF220",NA,1.14.11.24,NA,NA,AT4G10500.1,NA,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein,LOC_Os07g07410.2,NA,"oxidoreductase, 2OG-Fe oxygenase family protein, putative, expressed",-370,-2763,370
Chr01N,66029644,66049644,20001,+,spliceSite,94,11151,Pavir.1NG555201,19.5201196,5.357026816,66039644,Chr01N_66039644,2,5,8.128817047,5,3.026070466,5,3.008205275,5,66042943,66044365,1423,+,41583240,Pavir.1NG555201.1,Pavir.1NG555201.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3299,-4721,3299
Chr01N,66029644,66049644,20001,+,spliceSite,94,14872,Pavir.1NG555200,19.5201196,5.357026816,66039644,Chr01N_66039644,2,5,8.128817047,5,3.026070466,5,3.008205275,5,66032953,66037159,4207,-,41584506,Pavir.1NG555200.1,Pavir.1NG555200.1.p,"PF16891,PF00149","PTHR11668,PTHR11668:SF280",NA,3.1.3.16,K06269,GO:0016787,AT2G39840.1,TOPP4,type one serine/threonine protein phosphatase 4,LOC_Os02g57450.1,NA,"Ser/Thr protein phosphatase family protein, putative, expressed",6691,2485,2485
Chr01N,66029644,66049644,20001,+,spliceSite,94,14873,Pavir.1NG555200,19.5201196,5.357026816,66039644,Chr01N_66039644,2,5,8.128817047,5,3.026070466,5,3.008205275,5,66032953,66037159,4207,-,41584506,Pavir.1NG555200.1,Pavir.1NG555200.1.p,"PF16891,PF00149","PTHR11668,PTHR11668:SF280",NA,3.1.3.16,K06269,GO:0016787,AT2G39840.1,TOPP4,type one serine/threonine protein phosphatase 4,LOC_Os02g57450.1,NA,"Ser/Thr protein phosphatase family protein, putative, expressed",6691,2485,2485
Chr01N,66029644,66049644,20001,+,spliceSite,94,14874,Pavir.1NG555200,19.5201196,5.357026816,66039644,Chr01N_66039644,2,5,8.128817047,5,3.026070466,5,3.008205275,5,66032953,66037159,4207,-,41584506,Pavir.1NG555200.1,Pavir.1NG555200.1.p,"PF16891,PF00149","PTHR11668,PTHR11668:SF280",NA,3.1.3.16,K06269,GO:0016787,AT2G39840.1,TOPP4,type one serine/threonine protein phosphatase 4,LOC_Os02g57450.1,NA,"Ser/Thr protein phosphatase family protein, putative, expressed",6691,2485,2485
Chr01N,66029644,66049644,20001,+,spliceSite,94,14875,Pavir.1NG555200,19.5201196,5.357026816,66039644,Chr01N_66039644,2,5,8.128817047,5,3.026070466,5,3.008205275,5,66032953,66037159,4207,-,41584506,Pavir.1NG555200.1,Pavir.1NG555200.1.p,"PF16891,PF00149","PTHR11668,PTHR11668:SF280",NA,3.1.3.16,K06269,GO:0016787,AT2G39840.1,TOPP4,type one serine/threonine protein phosphatase 4,LOC_Os02g57450.1,NA,"Ser/Thr protein phosphatase family protein, putative, expressed",6691,2485,2485
Chr01N,66029644,66049644,20001,+,spliceSite,94,14876,Pavir.1NG555200,19.5201196,5.357026816,66039644,Chr01N_66039644,2,5,8.128817047,5,3.026070466,5,3.008205275,5,66032953,66037159,4207,-,41584506,Pavir.1NG555200.1,Pavir.1NG555200.1.p,"PF16891,PF00149","PTHR11668,PTHR11668:SF280",NA,3.1.3.16,K06269,GO:0016787,AT2G39840.1,TOPP4,type one serine/threonine protein phosphatase 4,LOC_Os02g57450.1,NA,"Ser/Thr protein phosphatase family protein, putative, expressed",6691,2485,2485
Chr01N,66029644,66049644,20001,+,spliceSite,94,14877,Pavir.1NG555200,19.5201196,5.357026816,66039644,Chr01N_66039644,2,5,8.128817047,5,3.026070466,5,3.008205275,5,66032953,66037159,4207,-,41584506,Pavir.1NG555200.1,Pavir.1NG555200.1.p,"PF16891,PF00149","PTHR11668,PTHR11668:SF280",NA,3.1.3.16,K06269,GO:0016787,AT2G39840.1,TOPP4,type one serine/threonine protein phosphatase 4,LOC_Os02g57450.1,NA,"Ser/Thr protein phosphatase family protein, putative, expressed",6691,2485,2485
Chr01N,66029644,66049644,20001,+,spliceSite,94,14878,Pavir.1NG555200,19.5201196,5.357026816,66039644,Chr01N_66039644,2,5,8.128817047,5,3.026070466,5,3.008205275,5,66032953,66037159,4207,-,41584506,Pavir.1NG555200.1,Pavir.1NG555200.1.p,"PF16891,PF00149","PTHR11668,PTHR11668:SF280",NA,3.1.3.16,K06269,GO:0016787,AT2G39840.1,TOPP4,type one serine/threonine protein phosphatase 4,LOC_Os02g57450.1,NA,"Ser/Thr protein phosphatase family protein, putative, expressed",6691,2485,2485
Chr01N,66029644,66049644,20001,+,spliceSite,94,14879,Pavir.1NG555200,19.5201196,5.357026816,66039644,Chr01N_66039644,2,5,8.128817047,5,3.026070466,5,3.008205275,5,66032953,66037159,4207,-,41584506,Pavir.1NG555200.1,Pavir.1NG555200.1.p,"PF16891,PF00149","PTHR11668,PTHR11668:SF280",NA,3.1.3.16,K06269,GO:0016787,AT2G39840.1,TOPP4,type one serine/threonine protein phosphatase 4,LOC_Os02g57450.1,NA,"Ser/Thr protein phosphatase family protein, putative, expressed",6691,2485,2485
Chr01N,66029644,66049644,20001,+,spliceSite,94,14880,Pavir.1NG555200,19.5201196,5.357026816,66039644,Chr01N_66039644,2,5,8.128817047,5,3.026070466,5,3.008205275,5,66032953,66037159,4207,-,41584506,Pavir.1NG555200.1,Pavir.1NG555200.1.p,"PF16891,PF00149","PTHR11668,PTHR11668:SF280",NA,3.1.3.16,K06269,GO:0016787,AT2G39840.1,TOPP4,type one serine/threonine protein phosphatase 4,LOC_Os02g57450.1,NA,"Ser/Thr protein phosphatase family protein, putative, expressed",6691,2485,2485
Chr01N,66029644,66049644,20001,+,spliceSite,94,14881,Pavir.1NG554900,19.5201196,5.357026816,66039644,Chr01N_66039644,2,5,8.128817047,5,3.026070466,5,3.008205275,5,66044758,66047716,2959,-,41585229,Pavir.1NG554900.1,Pavir.1NG554900.1.p,PF13424,"PTHR19959,PTHR19959:SF168",KOG1840,NA,NA,NA,AT2G31240.1,NA,Tetratricopeptide repeat (TPR)-like superfamily protein,LOC_Os02g57470.1,NA,"tetratricopeptide repeat containing protein, putative, expressed",-5114,-8072,5114
Chr05N,23120425,23140425,20001,*,intergenic,447,NA,NA,19.12718508,4.531594334,23130425,Chr05N_23130425,10,6,4.89843554,6,3.212596606,6,6.484558597,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chr02K,40906766,40926766,20001,+,spliceSite,131,16875,Pavir.2KG287668,19.04967546,5.241646863,40916766,Chr02K_40916766,3,4,4.761510291,4,4.413337594,4,4.633180709,4,40918500,40921784,3285,+,41657025,Pavir.2KG287668.1,Pavir.2KG287668.1.p,NA,"PTHR36713,PTHR36713:SF1",NA,NA,NA,NA,AT1G15230.1,NA,NA,LOC_Os09g17580.1,NA,expressed protein,-1734,-5018,1734
Chr02K,40906766,40926766,20001,+,spliceSite,131,21047,Pavir.2KG287501,19.04967546,5.241646863,40916766,Chr02K_40916766,3,4,4.761510291,4,4.413337594,4,4.633180709,4,40911839,40912633,795,-,41652782,Pavir.2KG287501.1,Pavir.2KG287501.1.p,NA,"PTHR19446,PTHR19446:SF355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4927,4133,4133
Chr03K,62675534,62695534,20001,-,spliceSite,269,35855,Pavir.3KG553100,18.95396749,3.715953221,62685534,Chr03K_62685534,5,9,4.307227876,9,5.471784714,9,5.459001676,8,62688228,62695853,7626,+,41609949,Pavir.3KG553100.1,Pavir.3KG553100.1.p,PF13423,"PTHR24006,PTHR24006:SF520",NA,3.4.19.12,K11835,NA,AT5G22030.1,UBP8,ubiquitin-specific protease 8,LOC_Os12g42600.1,NA,"ubiquitin carboxyl-terminal hydrolase domain containing protein, expressed",-2694,-10319,2694
Chr03K,62675534,62695534,20001,-,spliceSite,269,35856,Pavir.3KG553100,18.95396749,3.715953221,62685534,Chr03K_62685534,5,9,4.307227876,9,5.471784714,9,5.459001676,8,62688228,62695853,7626,+,41609949,Pavir.3KG553100.1,Pavir.3KG553100.1.p,PF13423,"PTHR24006,PTHR24006:SF520",NA,3.4.19.12,K11835,NA,AT5G22030.1,UBP8,ubiquitin-specific protease 8,LOC_Os12g42600.1,NA,"ubiquitin carboxyl-terminal hydrolase domain containing protein, expressed",-2694,-10319,2694
Chr03K,62675534,62695534,20001,-,spliceSite,269,35857,Pavir.3KG553100,18.95396749,3.715953221,62685534,Chr03K_62685534,5,9,4.307227876,9,5.471784714,9,5.459001676,8,62688228,62695853,7626,+,41609949,Pavir.3KG553100.1,Pavir.3KG553100.1.p,PF13423,"PTHR24006,PTHR24006:SF520",NA,3.4.19.12,K11835,NA,AT5G22030.1,UBP8,ubiquitin-specific protease 8,LOC_Os12g42600.1,NA,"ubiquitin carboxyl-terminal hydrolase domain containing protein, expressed",-2694,-10319,2694
Chr03K,62675534,62695534,20001,-,spliceSite,269,35858,Pavir.3KG553100,18.95396749,3.715953221,62685534,Chr03K_62685534,5,9,4.307227876,9,5.471784714,9,5.459001676,8,62688228,62695853,7626,+,41609949,Pavir.3KG553100.1,Pavir.3KG553100.1.p,PF13423,"PTHR24006,PTHR24006:SF520",NA,3.4.19.12,K11835,NA,AT5G22030.1,UBP8,ubiquitin-specific protease 8,LOC_Os12g42600.1,NA,"ubiquitin carboxyl-terminal hydrolase domain containing protein, expressed",-2694,-10319,2694
Chr03K,62675534,62695534,20001,-,spliceSite,269,40162,Pavir.3KG553000,18.95396749,3.715953221,62685534,Chr03K_62685534,5,9,4.307227876,9,5.471784714,9,5.459001676,8,62677340,62678605,1266,-,41612347,Pavir.3KG553000.1,Pavir.3KG553000.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8194,6929,6929
Chr04N,47708350,47728350,20001,*,intergenic,371,NA,NA,18.94519364,5.581637159,47718350,Chr04N_47718350,8,9,4.289806189,9,4.443980292,9,4.629770004,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chr02N,44921762,44941762,20001,+,spliceSite,207,25427,Pavir.2NG315503,18.8632598,3.245810163,44931762,Chr02N_44931762,4,5,4.088523452,5,4.573273065,5,6.955653123,6,44927098,44931844,4747,+,41568868,Pavir.2NG315503.1,Pavir.2NG315503.1.p,PF07690,"PTHR23500,PTHR23500:SF12",KOG0254,NA,NA,"GO:0055085,GO:0016021",AT4G02050.1,STP7,sugar transporter protein 7,LOC_Os09g24924.1,NA,"transporter family protein, putative, expressed",4664,-82,82
Chr02N,44921762,44941762,20001,+,spliceSite,207,25428,Pavir.2NG315100,18.8632598,3.245810163,44931762,Chr02N_44931762,4,5,4.088523452,5,4.573273065,5,6.955653123,6,44933853,44936550,2698,+,41564096,Pavir.2NG315100.1,Pavir.2NG315100.1.p,NA,NA,NA,NA,NA,NA,AT4G00420.2,NA,Double-stranded RNA-binding domain (DsRBD)-containing protein,LOC_Os09g24954.2,NA,"double-stranded RNA binding motif containing protein, expressed",-2091,-4788,2091
Chr02N,44921762,44941762,20001,+,spliceSite,207,25429,Pavir.2NG315100,18.8632598,3.245810163,44931762,Chr02N_44931762,4,5,4.088523452,5,4.573273065,5,6.955653123,6,44933853,44936550,2698,+,41564096,Pavir.2NG315100.1,Pavir.2NG315100.1.p,NA,NA,NA,NA,NA,NA,AT4G00420.2,NA,Double-stranded RNA-binding domain (DsRBD)-containing protein,LOC_Os09g24954.2,NA,"double-stranded RNA binding motif containing protein, expressed",-2091,-4788,2091
Chr02N,44921762,44941762,20001,-,spliceSite,207,29568,Pavir.2NG315000,18.8632598,3.245810163,44931762,Chr02N_44931762,4,5,4.088523452,5,4.573273065,5,6.955653123,6,44937202,44942479,5278,-,41564379,Pavir.2NG315000.10,Pavir.2NG315000.10.p,"PF08288,PF00534","PTHR12526,PTHR12526:SF232",KOG1111,2.4.1.198,NA,GO:0006506,AT3G45100.1,SETH2,UDP-Glycosyltransferase superfamily protein,LOC_Os07g16960.1,NA,"glycosyl transferase, group 1 domain containing protein, expressed",-5440,-10717,5440
Chr02N,44921762,44941762,20001,-,spliceSite,207,29569,Pavir.2NG315000,18.8632598,3.245810163,44931762,Chr02N_44931762,4,5,4.088523452,5,4.573273065,5,6.955653123,6,44937202,44942479,5278,-,41564379,Pavir.2NG315000.10,Pavir.2NG315000.10.p,"PF08288,PF00534","PTHR12526,PTHR12526:SF232",KOG1111,2.4.1.198,NA,GO:0006506,AT3G45100.1,SETH2,UDP-Glycosyltransferase superfamily protein,LOC_Os07g16960.1,NA,"glycosyl transferase, group 1 domain containing protein, expressed",-5440,-10717,5440
Chr02N,44921762,44941762,20001,-,spliceSite,207,29570,Pavir.2NG315000,18.8632598,3.245810163,44931762,Chr02N_44931762,4,5,4.088523452,5,4.573273065,5,6.955653123,6,44937202,44942479,5278,-,41564379,Pavir.2NG315000.10,Pavir.2NG315000.10.p,"PF08288,PF00534","PTHR12526,PTHR12526:SF232",KOG1111,2.4.1.198,NA,GO:0006506,AT3G45100.1,SETH2,UDP-Glycosyltransferase superfamily protein,LOC_Os07g16960.1,NA,"glycosyl transferase, group 1 domain containing protein, expressed",-5440,-10717,5440
Chr02N,44921762,44941762,20001,-,spliceSite,207,29571,Pavir.2NG315000,18.8632598,3.245810163,44931762,Chr02N_44931762,4,5,4.088523452,5,4.573273065,5,6.955653123,6,44937202,44942479,5278,-,41564379,Pavir.2NG315000.10,Pavir.2NG315000.10.p,"PF08288,PF00534","PTHR12526,PTHR12526:SF232",KOG1111,2.4.1.198,NA,GO:0006506,AT3G45100.1,SETH2,UDP-Glycosyltransferase superfamily protein,LOC_Os07g16960.1,NA,"glycosyl transferase, group 1 domain containing protein, expressed",-5440,-10717,5440
Chr02N,44921762,44941762,20001,-,spliceSite,207,29572,Pavir.2NG315000,18.8632598,3.245810163,44931762,Chr02N_44931762,4,5,4.088523452,5,4.573273065,5,6.955653123,6,44937202,44942479,5278,-,41564379,Pavir.2NG315000.10,Pavir.2NG315000.10.p,"PF08288,PF00534","PTHR12526,PTHR12526:SF232",KOG1111,2.4.1.198,NA,GO:0006506,AT3G45100.1,SETH2,UDP-Glycosyltransferase superfamily protein,LOC_Os07g16960.1,NA,"glycosyl transferase, group 1 domain containing protein, expressed",-5440,-10717,5440
Chr02N,44921762,44941762,20001,-,spliceSite,207,29573,Pavir.2NG315000,18.8632598,3.245810163,44931762,Chr02N_44931762,4,5,4.088523452,5,4.573273065,5,6.955653123,6,44937202,44942479,5278,-,41564379,Pavir.2NG315000.10,Pavir.2NG315000.10.p,"PF08288,PF00534","PTHR12526,PTHR12526:SF232",KOG1111,2.4.1.198,NA,GO:0006506,AT3G45100.1,SETH2,UDP-Glycosyltransferase superfamily protein,LOC_Os07g16960.1,NA,"glycosyl transferase, group 1 domain containing protein, expressed",-5440,-10717,5440
Chr02N,44921762,44941762,20001,-,spliceSite,207,29574,Pavir.2NG315000,18.8632598,3.245810163,44931762,Chr02N_44931762,4,5,4.088523452,5,4.573273065,5,6.955653123,6,44937202,44942479,5278,-,41564379,Pavir.2NG315000.10,Pavir.2NG315000.10.p,"PF08288,PF00534","PTHR12526,PTHR12526:SF232",KOG1111,2.4.1.198,NA,GO:0006506,AT3G45100.1,SETH2,UDP-Glycosyltransferase superfamily protein,LOC_Os07g16960.1,NA,"glycosyl transferase, group 1 domain containing protein, expressed",-5440,-10717,5440
Chr02N,44921762,44941762,20001,-,spliceSite,207,29575,Pavir.2NG315000,18.8632598,3.245810163,44931762,Chr02N_44931762,4,5,4.088523452,5,4.573273065,5,6.955653123,6,44937202,44942479,5278,-,41564379,Pavir.2NG315000.10,Pavir.2NG315000.10.p,"PF08288,PF00534","PTHR12526,PTHR12526:SF232",KOG1111,2.4.1.198,NA,GO:0006506,AT3G45100.1,SETH2,UDP-Glycosyltransferase superfamily protein,LOC_Os07g16960.1,NA,"glycosyl transferase, group 1 domain containing protein, expressed",-5440,-10717,5440
Chr02N,44921762,44941762,20001,-,spliceSite,207,29576,Pavir.2NG315000,18.8632598,3.245810163,44931762,Chr02N_44931762,4,5,4.088523452,5,4.573273065,5,6.955653123,6,44937202,44942479,5278,-,41564379,Pavir.2NG315000.10,Pavir.2NG315000.10.p,"PF08288,PF00534","PTHR12526,PTHR12526:SF232",KOG1111,2.4.1.198,NA,GO:0006506,AT3G45100.1,SETH2,UDP-Glycosyltransferase superfamily protein,LOC_Os07g16960.1,NA,"glycosyl transferase, group 1 domain containing protein, expressed",-5440,-10717,5440
Chr02N,44921762,44941762,20001,-,spliceSite,207,29577,Pavir.2NG315000,18.8632598,3.245810163,44931762,Chr02N_44931762,4,5,4.088523452,5,4.573273065,5,6.955653123,6,44937202,44942479,5278,-,41564379,Pavir.2NG315000.10,Pavir.2NG315000.10.p,"PF08288,PF00534","PTHR12526,PTHR12526:SF232",KOG1111,2.4.1.198,NA,GO:0006506,AT3G45100.1,SETH2,UDP-Glycosyltransferase superfamily protein,LOC_Os07g16960.1,NA,"glycosyl transferase, group 1 domain containing protein, expressed",-5440,-10717,5440
Chr02N,44921762,44941762,20001,-,spliceSite,207,29578,Pavir.2NG315000,18.8632598,3.245810163,44931762,Chr02N_44931762,4,5,4.088523452,5,4.573273065,5,6.955653123,6,44937202,44942479,5278,-,41564379,Pavir.2NG315000.10,Pavir.2NG315000.10.p,"PF08288,PF00534","PTHR12526,PTHR12526:SF232",KOG1111,2.4.1.198,NA,GO:0006506,AT3G45100.1,SETH2,UDP-Glycosyltransferase superfamily protein,LOC_Os07g16960.1,NA,"glycosyl transferase, group 1 domain containing protein, expressed",-5440,-10717,5440
