CHR,region_start,region_end,width,region_strand,Annotation,QUERYID,TXID,Gene ID,log10BF_All,POS,marker.ID,CHRN,NumSigCond_All,gene_start,gene_end,gene_width,gene_strand,pacId,transcriptName,peptideName,Pfam,Panther Categories,KOG,ec,KO,GO,Arabidopsis thaliana homolog,A. thaliana gene name,A. thaliana gene annotation,Rice homolog,Rice gene name,Rice gene annotation,d2_start,d2_end,distance from gene
Chr01K,378268,398268,20001,+,spliceSite,1,3878,Pavir.1KG001600,2.2327495546156064,388268,Chr01K_388268,1,9,376824,383017,6194,-,41618556,Pavir.1KG001600.1,Pavir.1KG001600.1.p,"PF13848,PF00085","PTHR18929,PTHR18929:SF74",KOG0190,5.3.4.1,K09580,GO:0045454,AT5G60640.1,"ATPDI2,ATPDIL1-4,PDI2,PDIL1-4",PDI-like 1-4,LOC_Os02g01010.1,NA,"OsPDIL1-4 protein disulfide isomerase PDIL1-4, expressed",11444,5251,5251
Chr01K,378268,398268,20001,+,spliceSite,1,3879,Pavir.1KG001600,2.2327495546156064,388268,Chr01K_388268,1,9,376824,383017,6194,-,41618556,Pavir.1KG001600.1,Pavir.1KG001600.1.p,"PF13848,PF00085","PTHR18929,PTHR18929:SF74",KOG0190,5.3.4.1,K09580,GO:0045454,AT5G60640.1,"ATPDI2,ATPDIL1-4,PDI2,PDIL1-4",PDI-like 1-4,LOC_Os02g01010.1,NA,"OsPDIL1-4 protein disulfide isomerase PDIL1-4, expressed",11444,5251,5251
Chr01K,378268,398268,20001,+,spliceSite,1,3880,Pavir.1KG001600,2.2327495546156064,388268,Chr01K_388268,1,9,376824,383017,6194,-,41618556,Pavir.1KG001600.1,Pavir.1KG001600.1.p,"PF13848,PF00085","PTHR18929,PTHR18929:SF74",KOG0190,5.3.4.1,K09580,GO:0045454,AT5G60640.1,"ATPDI2,ATPDIL1-4,PDI2,PDIL1-4",PDI-like 1-4,LOC_Os02g01010.1,NA,"OsPDIL1-4 protein disulfide isomerase PDIL1-4, expressed",11444,5251,5251
Chr01K,378268,398268,20001,+,spliceSite,1,3881,Pavir.1KG002000,2.2327495546156064,388268,Chr01K_388268,1,9,391939,393654,1716,-,41618390,Pavir.1KG002000.1,Pavir.1KG002000.1.p,PF05340,NA,NA,NA,NA,NA,NA,NA,NA,LOC_Os02g01080.1,NA,expressed protein,-3671,-5386,3671
Chr01K,590957,610957,20001,+,spliceSite,2,30,Pavir.1KG005033,2.5427791440532035,600957,Chr01K_600957,1,9,587749,609298,21550,+,41623981,Pavir.1KG005033.1,Pavir.1KG005033.1.p,PF00892,"PTHR31218,PTHR31218:SF27",NA,NA,NA,"GO:0016021,GO:0016020,GO:0022857",AT2G37460.1,NA,nodulin MtN21 /EamA-like transporter family protein,LOC_Os12g18960.1,NA,"integral membrane protein DUF6 containing protein, expressed",13208,-8341,8341
Chr01K,590957,610957,20001,+,spliceSite,2,31,Pavir.1KG005033,2.5427791440532035,600957,Chr01K_600957,1,9,587749,609298,21550,+,41623981,Pavir.1KG005033.1,Pavir.1KG005033.1.p,PF00892,"PTHR31218,PTHR31218:SF27",NA,NA,NA,"GO:0016021,GO:0016020,GO:0022857",AT2G37460.1,NA,nodulin MtN21 /EamA-like transporter family protein,LOC_Os12g18960.1,NA,"integral membrane protein DUF6 containing protein, expressed",13208,-8341,8341
Chr01K,595847,615847,20001,+,spliceSite,3,30,Pavir.1KG005033,2.3978045354030897,605847,Chr01K_605847,1,9,587749,609298,21550,+,41623981,Pavir.1KG005033.1,Pavir.1KG005033.1.p,PF00892,"PTHR31218,PTHR31218:SF27",NA,NA,NA,"GO:0016021,GO:0016020,GO:0022857",AT2G37460.1,NA,nodulin MtN21 /EamA-like transporter family protein,LOC_Os12g18960.1,NA,"integral membrane protein DUF6 containing protein, expressed",18098,-3451,3451
Chr01K,595847,615847,20001,+,spliceSite,3,31,Pavir.1KG005033,2.3978045354030897,605847,Chr01K_605847,1,9,587749,609298,21550,+,41623981,Pavir.1KG005033.1,Pavir.1KG005033.1.p,PF00892,"PTHR31218,PTHR31218:SF27",NA,NA,NA,"GO:0016021,GO:0016020,GO:0022857",AT2G37460.1,NA,nodulin MtN21 /EamA-like transporter family protein,LOC_Os12g18960.1,NA,"integral membrane protein DUF6 containing protein, expressed",18098,-3451,3451
Chr01K,595847,615847,20001,+,spliceSite,3,32,Pavir.1KG005166,2.3978045354030897,605847,Chr01K_605847,1,9,613690,618324,4635,+,41619165,Pavir.1KG005166.1,Pavir.1KG005166.1.p,"PF00319,PF01486","PTHR11945,PTHR11945:SF208",KOG0014,NA,NA,"GO:0046983,GO:0003677,GO:0006355,GO:0005634,GO:0003700",AT2G45660.1,"AGL20,ATSOC1,SOC1",AGAMOUS-like 20,LOC_Os02g01355.1,NA,"MADS-box transcription factor, putative, expressed",-7843,-12477,7843
Chr01K,1060684,1080684,20001,+,spliceSite,4,3957,Pavir.1KG010800,2.8462194675310637,1070684,Chr01K_1070684,1,9,1070875,1072006,1132,-,41619787,Pavir.1KG010800.1,Pavir.1KG010800.1.p,NA,"PTHR36038,PTHR36038:SF2",NA,NA,NA,NA,NA,NA,NA,LOC_Os02g02160.1,NA,expressed protein,-191,-1322,191
Chr01K,1060684,1080684,20001,+,spliceSite,4,69,Pavir.1KG010700,2.8462194675310637,1070684,Chr01K_1070684,1,9,1064292,1070745,6454,+,41620774,Pavir.1KG010700.1,Pavir.1KG010700.1.p,PF04414,"PTHR34667,PTHR34667:SF1",NA,3.1.1.96,K09716,"GO:0051499,GO:0016788",AT2G03800.1,GEK1,D-aminoacyl-tRNA deacylases,LOC_Os08g25140.1,NA,"ethanol tolerance protein GEKO1, putative, expressed",6392,-61,61
Chr01K,1060684,1080684,20001,+,spliceSite,4,70,Pavir.1KG010700,2.8462194675310637,1070684,Chr01K_1070684,1,9,1064292,1070745,6454,+,41620774,Pavir.1KG010700.1,Pavir.1KG010700.1.p,PF04414,"PTHR34667,PTHR34667:SF1",NA,3.1.1.96,K09716,"GO:0051499,GO:0016788",AT2G03800.1,GEK1,D-aminoacyl-tRNA deacylases,LOC_Os08g25140.1,NA,"ethanol tolerance protein GEKO1, putative, expressed",6392,-61,61
Chr01K,1060684,1080684,20001,+,spliceSite,4,71,Pavir.1KG010700,2.8462194675310637,1070684,Chr01K_1070684,1,9,1064292,1070745,6454,+,41620774,Pavir.1KG010700.1,Pavir.1KG010700.1.p,PF04414,"PTHR34667,PTHR34667:SF1",NA,3.1.1.96,K09716,"GO:0051499,GO:0016788",AT2G03800.1,GEK1,D-aminoacyl-tRNA deacylases,LOC_Os08g25140.1,NA,"ethanol tolerance protein GEKO1, putative, expressed",6392,-61,61
Chr01K,1659357,1679357,20001,+,spliceSite,5,4030,Pavir.1KG014700,3.638000186849793,1669357,Chr01K_1669357,1,7,1661405,1662159,755,-,41623255,Pavir.1KG014700.1,Pavir.1KG014700.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7952,7198,7198
Chr01K,1659357,1679357,20001,+,spliceSite,5,4031,Pavir.1KG014500,3.638000186849793,1669357,Chr01K_1669357,1,7,1665041,1668135,3095,-,41617784,Pavir.1KG014500.1,Pavir.1KG014500.1.p,"PF02358,PF00982","PTHR10788,PTHR10788:SF27",KOG1050,2.4.1.15,K16055,"GO:0005992,GO:0003824",AT1G23870.1,"ATTPS9,TPS9",trehalose-phosphatase/synthase 9,LOC_Os09g25890.1,NA,"trehalose-6-phosphate synthase, putative, expressed",4316,1222,1222
Chr01K,2790892,2810892,20001,+,spliceSite,6,230,Pavir.1KG070142,2.04754480658576,2800892,Chr01K_2800892,1,9,2810175,2811067,893,+,41617407,Pavir.1KG070142.1,Pavir.1KG070142.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9283,-10175,9283
Chr01K,3062205,3082205,20001,+,spliceSite,7,255,Pavir.1KG038800,2.09469922239075,3072205,Chr01K_3072205,1,9,3059306,3062880,3575,+,41619106,Pavir.1KG038800.1,Pavir.1KG038800.1.p,PF05705,"PTHR12265,PTHR12265:SF11",KOG2521,NA,NA,NA,AT3G19970.1,NA,alpha/beta-Hydrolases superfamily protein,LOC_Os02g04110.1,NA,expressed protein,12899,9325,9325
Chr01K,3062205,3082205,20001,+,spliceSite,7,256,Pavir.1KG038900,2.09469922239075,3072205,Chr01K_3072205,1,9,3063211,3066278,3068,+,41620637,Pavir.1KG038900.1,Pavir.1KG038900.1.p,PF01467,"PTHR10695,PTHR10695:SF33",NA,2.7.7.3,K02201,"GO:0009058,GO:0003824",AT2G18250.1,"ATCOAD,COAD",4-phosphopantetheine adenylyltransferase,LOC_Os02g04120.1,NA,"cytidylyltransferase domain containing protein, expressed",8994,5927,5927
Chr01K,3062205,3082205,20001,+,spliceSite,7,257,Pavir.1KG038900,2.09469922239075,3072205,Chr01K_3072205,1,9,3063211,3066278,3068,+,41620637,Pavir.1KG038900.1,Pavir.1KG038900.1.p,PF01467,"PTHR10695,PTHR10695:SF33",NA,2.7.7.3,K02201,"GO:0009058,GO:0003824",AT2G18250.1,"ATCOAD,COAD",4-phosphopantetheine adenylyltransferase,LOC_Os02g04120.1,NA,"cytidylyltransferase domain containing protein, expressed",8994,5927,5927
Chr01K,3062205,3082205,20001,+,spliceSite,7,258,Pavir.1KG038900,2.09469922239075,3072205,Chr01K_3072205,1,9,3063211,3066278,3068,+,41620637,Pavir.1KG038900.1,Pavir.1KG038900.1.p,PF01467,"PTHR10695,PTHR10695:SF33",NA,2.7.7.3,K02201,"GO:0009058,GO:0003824",AT2G18250.1,"ATCOAD,COAD",4-phosphopantetheine adenylyltransferase,LOC_Os02g04120.1,NA,"cytidylyltransferase domain containing protein, expressed",8994,5927,5927
Chr01K,3062205,3082205,20001,+,spliceSite,7,4159,Pavir.1KG039200,2.09469922239075,3072205,Chr01K_3072205,1,9,3069974,3071067,1094,-,41617444,Pavir.1KG039200.1,Pavir.1KG039200.1.p,PF07816,"PTHR33095,PTHR33095:SF20",NA,NA,NA,NA,AT1G70420.1,NA,Protein of unknown function (DUF1645),LOC_Os02g04130.1,NA,"DUF1645 domain containing protein, putative, expressed",2231,1138,1138
Chr01K,3598078,3618078,20001,+,spliceSite,8,316,Pavir.1KG044200,2.0660789685551975,3608078,Chr01K_3608078,1,9,3597633,3598118,486,+,41620674,Pavir.1KG044200.1,Pavir.1KG044200.1.p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10445,9960,9960
Chr01K,3598078,3618078,20001,+,spliceSite,8,318,Pavir.1KG044500,2.0660789685551975,3608078,Chr01K_3608078,1,9,3600006,3601128,1123,+,41624277,Pavir.1KG044500.3,Pavir.1KG044500.3.p,PF06094,"PTHR31544,PTHR31544:SF3",NA,NA,NA,NA,AT2G24390.1,NA,AIG2-like (avirulence induced gene) family protein,LOC_Os02g04800.1,NA,"AIG2-like family domain containing protein, expressed",8072,6950,6950
Chr01K,3598078,3618078,20001,+,spliceSite,8,319,Pavir.1KG044500,2.0660789685551975,3608078,Chr01K_3608078,1,9,3600006,3601128,1123,+,41624277,Pavir.1KG044500.3,Pavir.1KG044500.3.p,PF06094,"PTHR31544,PTHR31544:SF3",NA,NA,NA,NA,AT2G24390.1,NA,AIG2-like (avirulence induced gene) family protein,LOC_Os02g04800.1,NA,"AIG2-like family domain containing protein, expressed",8072,6950,6950
Chr01K,3598078,3618078,20001,+,spliceSite,8,320,Pavir.1KG044500,2.0660789685551975,3608078,Chr01K_3608078,1,9,3600006,3601128,1123,+,41624277,Pavir.1KG044500.3,Pavir.1KG044500.3.p,PF06094,"PTHR31544,PTHR31544:SF3",NA,NA,NA,NA,AT2G24390.1,NA,AIG2-like (avirulence induced gene) family protein,LOC_Os02g04800.1,NA,"AIG2-like family domain containing protein, expressed",8072,6950,6950
Chr01K,3598078,3618078,20001,+,spliceSite,8,321,Pavir.1KG044500,2.0660789685551975,3608078,Chr01K_3608078,1,9,3600006,3601128,1123,+,41624277,Pavir.1KG044500.3,Pavir.1KG044500.3.p,PF06094,"PTHR31544,PTHR31544:SF3",NA,NA,NA,NA,AT2G24390.1,NA,AIG2-like (avirulence induced gene) family protein,LOC_Os02g04800.1,NA,"AIG2-like family domain containing protein, expressed",8072,6950,6950
Chr01K,3598078,3618078,20001,+,spliceSite,8,322,Pavir.1KG044500,2.0660789685551975,3608078,Chr01K_3608078,1,9,3600006,3601128,1123,+,41624277,Pavir.1KG044500.3,Pavir.1KG044500.3.p,PF06094,"PTHR31544,PTHR31544:SF3",NA,NA,NA,NA,AT2G24390.1,NA,AIG2-like (avirulence induced gene) family protein,LOC_Os02g04800.1,NA,"AIG2-like family domain containing protein, expressed",8072,6950,6950
Chr01K,3598078,3618078,20001,+,spliceSite,8,4206,Pavir.1KG044600,2.0660789685551975,3608078,Chr01K_3608078,1,9,3600967,3609324,8358,-,41619205,Pavir.1KG044600.10,Pavir.1KG044600.10.p,"PF02309,PF02362,PF06507","PTHR31384,PTHR31384:SF9",NA,NA,NA,"GO:0006355,GO:0005634,GO:0003677,GO:0009725",AT1G30330.2,ARF6,auxin response factor 6,LOC_Os02g04810.1,NA,"auxin response factor 5, putative, expressed",7111,-1246,1246
Chr01K,3598078,3618078,20001,+,spliceSite,8,4207,Pavir.1KG044600,2.0660789685551975,3608078,Chr01K_3608078,1,9,3600967,3609324,8358,-,41619205,Pavir.1KG044600.10,Pavir.1KG044600.10.p,"PF02309,PF02362,PF06507","PTHR31384,PTHR31384:SF9",NA,NA,NA,"GO:0006355,GO:0005634,GO:0003677,GO:0009725",AT1G30330.2,ARF6,auxin response factor 6,LOC_Os02g04810.1,NA,"auxin response factor 5, putative, expressed",7111,-1246,1246
Chr01K,3598078,3618078,20001,+,spliceSite,8,4208,Pavir.1KG044600,2.0660789685551975,3608078,Chr01K_3608078,1,9,3600967,3609324,8358,-,41619205,Pavir.1KG044600.10,Pavir.1KG044600.10.p,"PF02309,PF02362,PF06507","PTHR31384,PTHR31384:SF9",NA,NA,NA,"GO:0006355,GO:0005634,GO:0003677,GO:0009725",AT1G30330.2,ARF6,auxin response factor 6,LOC_Os02g04810.1,NA,"auxin response factor 5, putative, expressed",7111,-1246,1246
Chr01K,3598078,3618078,20001,+,spliceSite,8,4209,Pavir.1KG044600,2.0660789685551975,3608078,Chr01K_3608078,1,9,3600967,3609324,8358,-,41619205,Pavir.1KG044600.10,Pavir.1KG044600.10.p,"PF02309,PF02362,PF06507","PTHR31384,PTHR31384:SF9",NA,NA,NA,"GO:0006355,GO:0005634,GO:0003677,GO:0009725",AT1G30330.2,ARF6,auxin response factor 6,LOC_Os02g04810.1,NA,"auxin response factor 5, putative, expressed",7111,-1246,1246
Chr01K,3598078,3618078,20001,+,spliceSite,8,4210,Pavir.1KG044600,2.0660789685551975,3608078,Chr01K_3608078,1,9,3600967,3609324,8358,-,41619205,Pavir.1KG044600.10,Pavir.1KG044600.10.p,"PF02309,PF02362,PF06507","PTHR31384,PTHR31384:SF9",NA,NA,NA,"GO:0006355,GO:0005634,GO:0003677,GO:0009725",AT1G30330.2,ARF6,auxin response factor 6,LOC_Os02g04810.1,NA,"auxin response factor 5, putative, expressed",7111,-1246,1246
Chr01K,3598078,3618078,20001,+,spliceSite,8,4211,Pavir.1KG044600,2.0660789685551975,3608078,Chr01K_3608078,1,9,3600967,3609324,8358,-,41619205,Pavir.1KG044600.10,Pavir.1KG044600.10.p,"PF02309,PF02362,PF06507","PTHR31384,PTHR31384:SF9",NA,NA,NA,"GO:0006355,GO:0005634,GO:0003677,GO:0009725",AT1G30330.2,ARF6,auxin response factor 6,LOC_Os02g04810.1,NA,"auxin response factor 5, putative, expressed",7111,-1246,1246
Chr01K,3598078,3618078,20001,+,spliceSite,8,4212,Pavir.1KG044600,2.0660789685551975,3608078,Chr01K_3608078,1,9,3600967,3609324,8358,-,41619205,Pavir.1KG044600.10,Pavir.1KG044600.10.p,"PF02309,PF02362,PF06507","PTHR31384,PTHR31384:SF9",NA,NA,NA,"GO:0006355,GO:0005634,GO:0003677,GO:0009725",AT1G30330.2,ARF6,auxin response factor 6,LOC_Os02g04810.1,NA,"auxin response factor 5, putative, expressed",7111,-1246,1246
Chr01K,3598078,3618078,20001,+,spliceSite,8,4213,Pavir.1KG044600,2.0660789685551975,3608078,Chr01K_3608078,1,9,3600967,3609324,8358,-,41619205,Pavir.1KG044600.10,Pavir.1KG044600.10.p,"PF02309,PF02362,PF06507","PTHR31384,PTHR31384:SF9",NA,NA,NA,"GO:0006355,GO:0005634,GO:0003677,GO:0009725",AT1G30330.2,ARF6,auxin response factor 6,LOC_Os02g04810.1,NA,"auxin response factor 5, putative, expressed",7111,-1246,1246
Chr01K,3598078,3618078,20001,+,spliceSite,8,4214,Pavir.1KG044600,2.0660789685551975,3608078,Chr01K_3608078,1,9,3600967,3609324,8358,-,41619205,Pavir.1KG044600.10,Pavir.1KG044600.10.p,"PF02309,PF02362,PF06507","PTHR31384,PTHR31384:SF9",NA,NA,NA,"GO:0006355,GO:0005634,GO:0003677,GO:0009725",AT1G30330.2,ARF6,auxin response factor 6,LOC_Os02g04810.1,NA,"auxin response factor 5, putative, expressed",7111,-1246,1246
Chr01K,3598078,3618078,20001,+,spliceSite,8,4215,Pavir.1KG044600,2.0660789685551975,3608078,Chr01K_3608078,1,9,3600967,3609324,8358,-,41619205,Pavir.1KG044600.10,Pavir.1KG044600.10.p,"PF02309,PF02362,PF06507","PTHR31384,PTHR31384:SF9",NA,NA,NA,"GO:0006355,GO:0005634,GO:0003677,GO:0009725",AT1G30330.2,ARF6,auxin response factor 6,LOC_Os02g04810.1,NA,"auxin response factor 5, putative, expressed",7111,-1246,1246
Chr01K,3598078,3618078,20001,+,spliceSite,8,4216,Pavir.1KG044600,2.0660789685551975,3608078,Chr01K_3608078,1,9,3600967,3609324,8358,-,41619205,Pavir.1KG044600.10,Pavir.1KG044600.10.p,"PF02309,PF02362,PF06507","PTHR31384,PTHR31384:SF9",NA,NA,NA,"GO:0006355,GO:0005634,GO:0003677,GO:0009725",AT1G30330.2,ARF6,auxin response factor 6,LOC_Os02g04810.1,NA,"auxin response factor 5, putative, expressed",7111,-1246,1246
Chr01K,3598078,3618078,20001,+,spliceSite,8,4217,Pavir.1KG044600,2.0660789685551975,3608078,Chr01K_3608078,1,9,3600967,3609324,8358,-,41619205,Pavir.1KG044600.10,Pavir.1KG044600.10.p,"PF02309,PF02362,PF06507","PTHR31384,PTHR31384:SF9",NA,NA,NA,"GO:0006355,GO:0005634,GO:0003677,GO:0009725",AT1G30330.2,ARF6,auxin response factor 6,LOC_Os02g04810.1,NA,"auxin response factor 5, putative, expressed",7111,-1246,1246
Chr01K,3598078,3618078,20001,+,spliceSite,8,4218,Pavir.1KG044600,2.0660789685551975,3608078,Chr01K_3608078,1,9,3600967,3609324,8358,-,41619205,Pavir.1KG044600.10,Pavir.1KG044600.10.p,"PF02309,PF02362,PF06507","PTHR31384,PTHR31384:SF9",NA,NA,NA,"GO:0006355,GO:0005634,GO:0003677,GO:0009725",AT1G30330.2,ARF6,auxin response factor 6,LOC_Os02g04810.1,NA,"auxin response factor 5, putative, expressed",7111,-1246,1246
Chr01K,3598078,3618078,20001,+,spliceSite,8,4219,Pavir.1KG044600,2.0660789685551975,3608078,Chr01K_3608078,1,9,3600967,3609324,8358,-,41619205,Pavir.1KG044600.10,Pavir.1KG044600.10.p,"PF02309,PF02362,PF06507","PTHR31384,PTHR31384:SF9",NA,NA,NA,"GO:0006355,GO:0005634,GO:0003677,GO:0009725",AT1G30330.2,ARF6,auxin response factor 6,LOC_Os02g04810.1,NA,"auxin response factor 5, putative, expressed",7111,-1246,1246
Chr01K,3598078,3618078,20001,+,spliceSite,8,4220,Pavir.1KG044600,2.0660789685551975,3608078,Chr01K_3608078,1,9,3600967,3609324,8358,-,41619205,Pavir.1KG044600.10,Pavir.1KG044600.10.p,"PF02309,PF02362,PF06507","PTHR31384,PTHR31384:SF9",NA,NA,NA,"GO:0006355,GO:0005634,GO:0003677,GO:0009725",AT1G30330.2,ARF6,auxin response factor 6,LOC_Os02g04810.1,NA,"auxin response factor 5, putative, expressed",7111,-1246,1246
Chr01K,3598078,3618078,20001,+,spliceSite,8,4221,Pavir.1KG044600,2.0660789685551975,3608078,Chr01K_3608078,1,9,3600967,3609324,8358,-,41619205,Pavir.1KG044600.10,Pavir.1KG044600.10.p,"PF02309,PF02362,PF06507","PTHR31384,PTHR31384:SF9",NA,NA,NA,"GO:0006355,GO:0005634,GO:0003677,GO:0009725",AT1G30330.2,ARF6,auxin response factor 6,LOC_Os02g04810.1,NA,"auxin response factor 5, putative, expressed",7111,-1246,1246
Chr01K,3598078,3618078,20001,+,spliceSite,8,4222,Pavir.1KG044600,2.0660789685551975,3608078,Chr01K_3608078,1,9,3600967,3609324,8358,-,41619205,Pavir.1KG044600.10,Pavir.1KG044600.10.p,"PF02309,PF02362,PF06507","PTHR31384,PTHR31384:SF9",NA,NA,NA,"GO:0006355,GO:0005634,GO:0003677,GO:0009725",AT1G30330.2,ARF6,auxin response factor 6,LOC_Os02g04810.1,NA,"auxin response factor 5, putative, expressed",7111,-1246,1246
Chr01K,3598078,3618078,20001,+,spliceSite,8,4223,Pavir.1KG044600,2.0660789685551975,3608078,Chr01K_3608078,1,9,3600967,3609324,8358,-,41619205,Pavir.1KG044600.10,Pavir.1KG044600.10.p,"PF02309,PF02362,PF06507","PTHR31384,PTHR31384:SF9",NA,NA,NA,"GO:0006355,GO:0005634,GO:0003677,GO:0009725",AT1G30330.2,ARF6,auxin response factor 6,LOC_Os02g04810.1,NA,"auxin response factor 5, putative, expressed",7111,-1246,1246
Chr01K,3598078,3618078,20001,+,spliceSite,8,4224,Pavir.1KG044600,2.0660789685551975,3608078,Chr01K_3608078,1,9,3600967,3609324,8358,-,41619205,Pavir.1KG044600.10,Pavir.1KG044600.10.p,"PF02309,PF02362,PF06507","PTHR31384,PTHR31384:SF9",NA,NA,NA,"GO:0006355,GO:0005634,GO:0003677,GO:0009725",AT1G30330.2,ARF6,auxin response factor 6,LOC_Os02g04810.1,NA,"auxin response factor 5, putative, expressed",7111,-1246,1246
